isSoundTrack,rank,album,artist,year,url,comment
FALSE,A+,The Best of the Classic Years,King Sunny Ade,2003,https://www.robertchristgau.com/get_album.php?id=11839,"
I wonder if the guys who complained Sunny was one of them media hypes are still listening to their Dream Syndicate albums. Maybe they are, the saps. But two decades on the truth is clearly the opposite--though now slightly diminished, he was a titan, one of the great pop musicians of the 20th century. This first stateside attempt to cherry-pick his vinyl outpouring--Ade himself has compiled CDs for his Masterdisc label--mines 1967-74, well before he crowned himself juju king, and although I own many of his African LPs, I'd never heard a cut on it. It's less tuneful than my old favorite The Message and doesn't flow as smoothly as the '80s stuff Chris Blackwell tried to naturalize into the new reggae. Yet thanks in part to ace compiler Randall Grass, it's magnificent through and through: so polymorphous that themes trade off with variations, so light that its guitars seem barely touched by rock sonorities, so percussive that only Nigerians can dance to it. Sweeping a big, ethnically divided country, juju was one of the headiest pop crazes anywhere ever. It was also mother's milk.
"
FALSE,A+,Heart of a Dog,Laurie Anderson,2015,https://www.robertchristgau.com/get_album.php?id=16620,"
The soundtrack to a film I missed is also Anderson's simplest and finest album, accruing power and complexity as you relisten and relisten again: 75 minutes of sparsely but gorgeously and aptly orchestrated tales about a) her beloved rat terrier Lolabelle and b) the experience of death. There are few detours--even her old fascination with the surveillance state packs conceptual weight. Often she's wry, but never is she satiric; occasionally she varies spoken word with singsong, but never is her voice distorted. She's just telling us stories about life and death and what comes in the middle when you do them right, which is love. There's a lot of Buddhism, a lot of mom, a whole lot of Lolabelle, and no Lou Reed at all beyond a few casual ""we""s. Only he's there in all this love and death talk--you can feel him. And then suddenly the finale is all Lou, singing a rough, wise, abstruse song about the meaning of love that first appeared on his last great album, Ecstasy--a song that was dubious there yet is perfect here. One side of the CD insert is portraits of Lolabelle. But on the other side there's a note: ""dedicated to the magnificent spirit/of my husband, Lou Reed/1942-2013."" I know I should see the movie. But I bet it'd be an anticlimax.
"
FALSE,A+,Neon Bible,Arcade Fire,2007,https://www.robertchristgau.com/get_album.php?id=13519,"
To remind us that anxiety is in his bones, Win Butler refurbishes the 2003 plaint ""No Cars Go"" as a football cheer about the safe place just before sleep. But everywhere else he emerges from his precious privacy and names the things he has to be afraid of, things he shares with all of us--religions run amok, rising tides, the surveillance state, a cowboy-in-chief with so little to lose he could start World War III on a dare. He doesn't tame his fears by naming them, or hint that they can be overcome, although in ""The Well and the Lighthouse,"" he advises the lighthouse: ""If you leave, them ships are gonna wreck."" But he and his large band of unarty art-rockers rock so hard and so beautiful they can propel anyone who listens past the end of the record. They thud rather than thunder. But what a loud and joyous thud it is.
"
FALSE,A+,Portrait of the Artist as a Young Man: 1923-1934,Louis Armstrong,1994,https://www.robertchristgau.com/get_album.php?id=6007,"
I don't mean to start a parlor game, but does greatest artist of the 20th century mean anything to you? I mean, who else you got? Picasso? Joyce? Renoir? Elvis? So here's one $50 item you owe yourself. I doubt it could be winnowed much--expanded would be better (where's ""I'm Not Rough""?), with four-plus hours an ideal introductory length. If some of it is less beatwise than a punk funkateer might hope, try to imagine how startling it sounded in an aural world that was still on the operetta standard, where John Philip Sousa ruled brass and Scott Joplin was jungle music. Then pay attention. Home in on Pops's trumpet solos--their strength, clarity, daring, ease, humor, swing, melodicism, and endless newness. Enjoy his irrepressible vocals without calling them comic relief--the comic is everywhere in this music. Get to know the brilliant originals. Hear how he takes over blues and hokum, pop classics and pop disposables without belittling his sources. Ask yourself whether high and low mean any damn thing at all.
"
FALSE,A+,Wild Honey,The Beach Boys,1967,https://www.robertchristgau.com/get_album.php?id=10982,"
It feels weird to call this a great record--it's so slight. But it's perfect and full of pleasure; it does what it sets out to do almost without a bad second (except for ""Let the Wind Blow,"" each of the 11 tunes--total time: 23:54--ends before you wish it would). And what does it set out to do? To convey the troubled innocence of the Beach Boys through a time of attractive but perilous psychedelic sturm und drang. Its method is whimsy, candor, and carefully modulated amateurishness, all of which comes through as humor. Tell me, what other pop seer was inspired enough to cover a Stevie Wonder song in 1967?
"
FALSE,A+,Licensed to Ill,The Beastie Boys,1986,https://www.robertchristgau.com/get_album.php?id=3478,"
The wisecracking arrogance of this record is the only rock and roll attitude that means diddley right now. With the mainstream claimed by sincere craftspeople and the great tradition of Elvis Presley, Esquerita, Creedence Clearwater Revival, the Sex Pistols, and Madonna sucked into a cultural vacuum by nitwit anarchists and bohemian sourpusses, three white jerkoffs and their crazed producer are set to go platinum-plus with ""black"" music that's radically original, childishly simple, hard to play, and accessible to anybody with two ears and an ass. Drinking, robbing, rhyming, and pillaging, busting open your locker and breaking your glasses, the Beasites don't just thumb their noses at redeeming social importance--they pull out their jammies and shoot it in the cookie puss. If you don't like the joke, you might as well put your money where your funnybone is and send a check to the PMRC.
"
FALSE,A+,The Definitive Collection,Chuck Berry,2006,https://www.robertchristgau.com/get_album.php?id=15735,"
I hope a few young folks out there are aware that the inventor of rock and roll made his bones with six genre- and generation-defining '50s hits: ""Maybellene,"" ""Roll Over Beethoven,"" ""School Day,"" ""Rock and Roll Music,"" ""Sweet Little Sixteen,"" and ""Johnny B. Goode."" I also hope they'll believe that he later wrote three equally titanic songs: ""Almost Grown"" and ""You Never Can Tell,"" in which his patented American teenager goes out on his own and gets married, and the sub rosa celebration of the Freedom Rides ""Promised Land."" And I hope they won't be surprised to learn that those nine titles are only the cream of a 10-buck, 30-tracks-in-75-minutes collection whose most dubious selection both the Kinks and the Rolling Stones thought choice enough to cover. (""Beautiful Delilah,"" to be precise--I've come around on Berry's sole #1, the naughty 1972 sing-along ""My Ding-a-Ling."") Bo Diddley excepted, Berry was the most spectacular guitarist of the rock and roll era, and every '60s band learned his licks. His bassist-producer was the capo of Chicago blues, his pianist entered the Rock and Roll Hall of Fame on his own recognizance, and his drummers were huge. Yet though the size of his sound was unprecedented, the penetrating lightness of his unslurred vocals was as boyish as the young Eminem's because the crystalline words meant even more than the irresistible music. In the hall of mirrors that is Chuck Berry's catalogue, this is where to get oriented. But be forewarned that there's also a 71-track three-CD box that slightly overplays his blues pretensions and Nat King Cole dreams, and that this one could tempt a person to covet that consumable too. I dare you to find out.
"
FALSE,A+,Ken Burns Jazz,Art Blakey,2000,https://www.robertchristgau.com/get_album.php?id=11695,"
Where MVP's Roots of Jazz Funk Volume One showcased hard bop's pop heads, here the tendency's greatest bandleader accommodates the jazz of a profusion of not-quite-pantheon improvisers. Clifford Brown, Monk, and then take your pick--Lee Morgan, Wayne Shorter, Horace Silver, Johnny Griffin, Bobby Timmons, Wynton Marsalis, not one a titan but here you'd never know it. Heads are pretty catchy too. Plus a whole lot of drummer.
"
FALSE,A+,Star Time,James Brown,1991,https://www.robertchristgau.com/get_album.php?id=1643,"
Canonizing as they commodify, CD boxes sever individual works from history. They obscure how albums as much as singles reflect cultural moments as well as formal imperatives and personal impulses, and rarely are their remixes, B sides, and previously unreleaseds more enlightening or entertaining than the album tracks they supplant. Redefining as it compiles, this is the great exception. The ""songs"" are all familiar, but with Brown, songs are only an excuse. Though his catalogue conceals a ballad album that could scare the shades off Ray Charles, with ""Papa's Got a Brand New Bag"" he discovered the deepest of his many callings, which was putting rhythm on top of American pop. Hence there's no excess in the many extended performances compilers Harry Weinger and Cliff White extract from the vault. Except perhaps on the first disc, which strains to provide the originals of songs known to most of us from their once-overs on ""Live"" at the Apollo, the five hours of music never falter. Only one question remains. If James Brown is the greatest popular musician of the era, how come he's never put out an album this convincing himself--not even Sex Machine? Does he know something about records that we don't? Is it possible they're not so important after all?
"
FALSE,A+,A 25th Anniversary in Show Business Salute to Ray Charles,Ray Charles,1971,https://www.robertchristgau.com/get_album.php?id=5274,"
In a remarkable show of benevolent corporate cooperation, this devotes one eighteen-song disc to his work with Atlantic, when Charles was inventing soul music, and another to his work with ABC, when he was demonstrating its apparently limitless flexibility. This is the only artist in history who's moved back and forth between jazz and rock and pop without the slightest sense of strain. I find that rock--the soul style he developed, not the Beatles covers--puts useful restraints on his taste, the limitless flexibility of which hasn't always served him well. But I'll sample anything he wants to serve up.
"
FALSE,A+,London Calling,The Clash,1980,https://www.robertchristgau.com/get_album.php?id=3540,"
Here's where they start showing off. If ""Lost in the Supermarket,"" for instance, is just another alienated-consumption song, it leaps instantly to the head of the genre on the empathy of Mick Jones's vocal. And so it goes. Complaints about ""slick"" production are absurd--Guy Stevens slick?--and insofar as the purity of the guitar attack is impinged upon by brass, pianner, and shuffle, this is an expansion, not a compromise. A gratifyingly loose Joe Strummer makes virtuoso use of his four-note range, and Paul Simonon has obviously been studying his reggae records. Warm, angry, and thoughtful, confident, melodic, and hard-rocking, this is the best double-LP since Exile on Main Street. And it's selling for about $7.50.
"
