isSoundTrack,rank,album,artist,year,url,comment
FALSE,B-,How to Be a Zillionaire,ABC,1985,https://www.robertchristgau.com/get_album.php?id=4281,"
The look of the Mark I ABC fooled Anglophobes into dismissing the music as fashion-plated pandering even though it was as politically suggestive as Anglophile heroes get. So don't let the look of the Mark II ABC fool you into hoping the music is outrageous, or even campy. Sure ""Be Near Me"" is catchier than anything on Beauty Stab, but when Martin Fry is on his game the hooks that make ABC sell coexist with the glossy electrofunk and dense wordplay that make (or made) them sparkle. As a great romantic he's just trying for a comeback.
"
FALSE,B-,A.B. Skhy,A.B. Skhy,1969,https://www.robertchristgau.com/get_album.php?id=11042,"
A truly competent white blues record, with driving horn arrangements and a wonderful cover.
"
FALSE,B-,Back in Black,AC/DC,1980,https://www.robertchristgau.com/get_album.php?id=4285,"
Replacing Aerosmith as primitives of choice among admirers of heavy machinery, these Aussies are a little too archetypal for my tastes. Angus Young does come up with killer riffs, though not as consistently as a refined person like myself might hope, and fresh recruit Brian Johnson sings like there's a cattle prod at his scrotum, just the thing for fans who can't decide whether their newfound testosterone is agony or ecstasy. AC/DC can't decide either--""Shoot to Thrill,"" ""Given [sic] the Dog a Bone,"" and ""Let Me Put My Love Into You"" all concern the unimaginative sexual acts you'd imagine, and ""What Do You Do for Money Honey"" has a more limited set of answers than the average secretary would prefer. My sister's glad they don't write fantasy and science fiction, and if you're female you're free to share her relief. Brothers are more deeply implicated in these matters.
"
FALSE,B-,Live Live Juju,King Sunny Ade and His African Beats,1988,https://www.robertchristgau.com/get_album.php?id=4294,"
Like so many live albums, it promises the real deal and then reduces an event that once engaged five or more senses to an aural abstraction. Worse, the percussive bias of both recording method and performance concept undercuts the momentum of the ensemble groove. Ruined by the Fallacy of the Drum Solo, in quadruplicate.
"
FALSE,B-,Get Your Wings,Aerosmith,1974,https://www.robertchristgau.com/get_album.php?id=6284,"
These prognathous New Englanders are musicianly (all things are relative) inheritors of the Grand Funk principle: if a band is going to be dumb, it might as well be American dumb. Here they're loud and cunning enough to provide a real treat for the hearing-impaired, at least on side one. Have a sense of humor about themselves, too, assuming ""Lord of the Thighs"" is intended as a joke. With dumb bands it's always hard to tell.
"
FALSE,B-,Draw the Line,Aerosmith,1977,https://www.robertchristgau.com/get_album.php?id=6286,"
The problem with the multiple-riff hi-test jobs that made Rocks rock was that when time came to follow up, the band was out of gas. The best of the three good ones here is a mold-breaking Joe-Perry-alone boogie that probably reflects the usual ""internal tensions."" Perry goes nowhere near the mold-breaking ""Kings and Queens,"" synthesized medieval pomp-rock (cf. Styx, Rush) that proves beyond doubt that they won't bite ""The Hand That Feeds."" We knew it all along, guys.
"
FALSE,B-,Live at the Fillmore East,The Allman Brothers Band,1971,https://www.robertchristgau.com/get_album.php?id=6292,"
Four sides comprising seven titles--only two of them repeated (ad infinitum) from the band's studio albums--and they sure do boogie. But even if Duane Allman plus Dickey Betts does equal Jerry Garcia, the Dead know roads are for getting somewhere. That is, Garcia (not to bring in John Coltrane) always takes you someplace unexpected on a long solo. I guess the appeal here is the inevitability of it all.
"
FALSE,B-,"Wipe the Windows, Check the Oil, Dollar Gas",The Allman Brothers Band,1976,https://www.robertchristgau.com/get_album.php?id=6295,"
I suppose Duane (as well as Berry) is missed on this second ABB live double--Dickey's guitar ripples begin to sound like mirages over the long haul. But as boogie Muzak it's only marginally less useful than Live at the Fillmore. ""Whipping Post""!
"
FALSE,B-,Too Stuffed to Jump,Amazing Rhythm Aces,1976,https://www.robertchristgau.com/get_album.php?id=6303,"
The jazzy, boogie-based eclecticism and colloquial cleverness almost never transcend the cute and commercial, a major letdown after a debut album that may have fulfilled more promise than the group has.
"
FALSE,B-,Burning the Ballroom Down,Amazing Rhythm Aces,1977,https://www.robertchristgau.com/get_album.php?id=6304,"
Just figured out why I've always been attracted to Russell Smith's sly, sincere songs and lethargic though hardly shiftless phrasing--he's a kind of laid-back Ronnie Van Zant. Which must be why I don't like him as much as I liked Ronnie Van Zant.
"
FALSE,B-,Mercury,American Music Club,1993,https://www.robertchristgau.com/get_album.php?id=8682,"
Unable to resist the excessive eloquence of new producer Mitchell Froom and the slam-bang fills of new drummer Tim Mooney, or else in a really crummy mood, Doyen of Depression Mark Eitzel wallows in it. The much admired epitome is ""Apology for an Accident,"" where, among other things, he emotes the excellent lines ""I've been praying a lot lately/It's because I no longer have a TV"" as if nothing so horrible had ever befallen a drunk with too much time to kill. Unsurprisingly (although it was a bitter pill at first), ""What Godzilla Said to God When His Name Wasn't Found in the Book of Life"" isn't funny either. Oversinging and all, ""Johnny Mathis' Feet"" is. It's also the wisest thing on the record, which isn't to say it's wise in any absolute sense. That comes later, we hope--but don't necessarily expect.
"
FALSE,B-,Eric Andersen,Eric Andersen,1969,https://www.robertchristgau.com/get_album.php?id=11073,"
New York post-folk trivia.
"
FALSE,B-,Countrified,John Anderson,1986,https://www.robertchristgau.com/get_album.php?id=4311,"
What's made him the decade's premier country star artistically has been his disinclination to act like one--he's never climbed on the Nashville assembly line like Skaggs and Strait and so many smaller fry. Until now. He goes for George's intensity rather than Merle's hang-loose, but he won't convince you he thought these songs were special, and though this may mean the truth is still in him, don't bet on it--not after he yanked the difficult-to-program album he's got in the can. And just in case country radio isn't mollified, he provides a gratuitous cover of Merle's ""Fightin' Side of Me."" In the Vietnam era jingoistic trash at least made sense on its own neurotic terms. Who's he gonna beat up on in 1986? CISPES? Alexander Cockburn?
"
FALSE,B-,10,John Anderson,1988,https://www.robertchristgau.com/get_album.php?id=4312,"
The noncommital title says a lot--about professionalism, about product. Not so much compromised as off his game, he kicks in with two winners and finishes off with a triumphant trope: ""There's a light at the end of the tunnel/And for once it ain't a fast moving train."" In between he goes all mushy about God, love, little children, born-to-losers, and the working man.
"
