isSoundTrack,rank,album,artist,year,url,comment
FALSE,C+,Greatest Hits,Abba,1976,https://www.robertchristgau.com/get_album.php?id=6279,"
Although four of these songs have gone top twenty here, the title commemorates the band's conquest of such places as West Germany and Costa Rica, where Abba's Europop is the biggest thing since the Beazosmonds. Americans with an attraction to vacuums, late capitalism, and satellite TV adduce Phil Spector and the Brill Building Book of Hooks in Abba's defense, but the band's real tradition is the advertising jingle, and I'm sure their disinclination to sing like Negroes reassures the Europopuli. Pervasive airplay might transform what is now a nagging annoyance into an aural totem. It might also transform it into an ashtray. God bless America, we're not likely to find out which.
"
FALSE,C+,Dirty Deeds Done Cheap,AC/DC,1981,https://www.robertchristgau.com/get_album.php?id=4286,"
A 1976 Australian LP released in the wake of their ascension to the U.S. top ten, this is where those of us who weren't paying attention meet the blokelike croak of the legendary Bon Scott, asphyxiated by his own vomit shortly after Highway to Hell broke them Stateside. Now I understand why they say Brian Johnson has a great voice--he's got about about three times the range and wattage, the bloke as fantasy-fiction demigod. But those who prefer Scott's charm have a point. Like Ian Hunter or Roger Chapman though without their panache, he has fun being a dirty young man--he almost slavers through ""Ain't No Fun Waiting Round to Be a Millionaire,"" and ""Big Balls"" is fully outrageous in its class hostility. Needless to say, sexual hostility--disguised as fun, of course--is more his speed.
"
FALSE,C+,Blow Up Your Video,AC/DC,1988,https://www.robertchristgau.com/get_album.php?id=4289,"
The brutal truth is that sexism has never kept a great rock-and-roller down--from Muddy to Lemmy, lots of dynamite music has objectified women in objectionable ways. But rotely is not among those ways. I mean, these guys have never known how to throw a party. Sure their costumery is good for a laugh, but Brian Johnson shrieks too much, which gets positively painful as he grows hoarse with the encroaching years, and they've always been stingy with their famous killer riffs. Their reunion with Vanda &amp; Young no more signals their renewed determination to make good albums than Elton John's reunion with Bernie Taupin. It signals commercial panic, and unlike Elton they're unlikely to reverse their downward sales path over the long haul. I eagerly await their retirement and the dynamite best-of I trust will prove subsequent upon it.
"
FALSE,C+,Five-a-Side,Ace,1975,https://www.robertchristgau.com/get_album.php?id=6282,"
The single, ""How Long,"" is welcomed by some desperate souls as a breakthrough for England's pub rock movement. Bet if John David Souther lived in England he'd play pubs too. Super catchy, but even more banal than that term used as a superlative ordinarily implies, sung and played with a mildness infuriating in musicians of such skill but totally appropriate to lyricists of such underweening triviality.
"
FALSE,C+,Into the Fire,Bryan Adams,1987,https://www.robertchristgau.com/get_album.php?id=4292,"
It's got to be deliberate, the voice of the common man or some such. Nevertheless, making all allowances--overlooking quotes/references (""eight miles high""), universals (""the rent is due""), attempted wordplay (""a table for one and a broken heart to go""), and simple idioms (""count me in,"" ""white flag,"" ""heaven knows,"" ""it's up to you"")--I count an astonishing fifty-six full-fledged clichï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s""caught in the crossfire"" in the first line to ""the worst is over"" in the third-to-last. And while ""Only the Strong Survive,"" the biggest offender with twelve, streamrollers across despite it all, neither Don Henley soul nor emergent social conscience justify the dumbness density. I know the salt of the earth is the shape of things to come, but these words of wisdom are beyond the pale.
"
FALSE,C+,Liveandirect,Adamski,1990,https://www.robertchristgau.com/get_album.php?id=5837,"
Acid house isn't stupid music; it isn't even bad music. It's music for some other species--with the Other, as always, relative to where one's Self happens to hang out. Singerless and virtually wordless, undeviating in its ""textless"" functionalism, it's impervious to consumer guidance: nobody who doesn't dance to it knows it exists, and nobody who does is gonna believe an alien like me. Nevertheless, it does exist, so say this: the best analogy isn't disco (though cf. MFSB and the Salsoul Orchestra) or dub or new age. It's fusion--beyond virtuosity, yet hopelessly in love with the almighty keyb. Though this guy isn't as weird and tricky as 808 State or A Guy Called Gerald at their fleeting best, his bottom seems suited to survival in an oxygenated environment, and once in a while he surges into something resembling life. There's the review. Now you can talk about it at parties.
"
FALSE,C+,Night in the Ruts,Aerosmith,1979,https://www.robertchristgau.com/get_album.php?id=6287,"
This opens with a promising song about their career called ""No Surprize."" Then they edge ever closer to the flash guitar, dull tempos, and stupid cover versions of heavy-metal orthodoxy. No surprise.
"
FALSE,C+,Permanent Vacation,Aerosmith,1987,https://www.robertchristgau.com/get_album.php?id=4297,"
Don't let the twelve tracks, blues moves, or ace Beatle cover mislead you. Horns here and here and here plus mellotron there and there plus song doctors all over the place add up to running out of gas again already.
"
FALSE,C+,December Underground,AFI,2006,https://www.robertchristgau.com/get_album.php?id=13397,"
Never let it be said that the youth of America can't recognize quality. These guys are spectacularly expert--with their dybbuk-or-angel vocal switchoffs, compulsive tempo shifts, dramatic dynamics, and multiple melodic and rhythmic elements, they're as exhausting to listen to as Stan Kenton, and with almost as much insight into the human heart. They predicate their worldview on their inability to win the love of Lara Croft, who led them on in a summer romance they now realize was an amoral farrago of lies and deception. So they consign her to many different hells, from ordinary suicide to my favorite: ""Watch the stars turn you to nothing."" And she thought she was so great.
"
FALSE,C+,Chrsitina Aguilera,Christina Aguilera,1999,https://www.robertchristgau.com/get_album.php?id=5322,"
""Genie in a Bottle"" was such a dazzlingly clever piece of teen self-exploration cum sexploitation that it seemed the better part of valor to hope it was a fluke. But this was avoidance--like LeAnn and unlike Britney, Christina already has ""adult"" grit and phrasing down pat, and so threatens to join Gloria, Mariah, Celine, and LeAnn herself in the endless parade of Diane Warren-fueled divas-by-fiat hitting high notes and signifying less than nothing. ""What a Girl Wants"" is clever, too, but in a far less ingratiating way--like its two-hour promotional video writ small, it raises the question of how this ruthlessly atypical young careerist can presume to advise girls not cursed with her ambition, and the fear that some of them will make her a role model regardless. Give me Left Eye any day.
"
