isSoundTrack,rank,album,artist,year,url,comment
FALSE,C-,American Gothic,David Ackles,1972,https://www.robertchristgau.com/get_album.php?id=6283,"
""I won't get maudlin,"" Ackles promises midway into the second side, locking himself in the barn as the dappled stallion gallops to join his brothers and sisters on the open range with his mane flying free in the breeze.
"
FALSE,C-,Reckless,Bryan Adams,1985,https://www.robertchristgau.com/get_album.php?id=4291,"
The megabuck stops here. Maybe I'll let Bruce Springsteen teach me how to hear John Cougar Mellencamp, but damned if I'm going to let John Cougar Mellencamp teach me how to hear Bryan Adams. From antipunkdiscowave strut to Flashdance homage, he's a generic American hunk, only whiter because he's Canadian. Where Sammy Hagar flaunts his anticommunism and Don Henley flaunts his mouth, Adams flaunts nothing more and nothing less than his young reliable bod. Like all the above-mentioned good and bad he shares a mysterious nostalgia for the recent past with a lot of people who aren't half dead yet, at least chronologically. And more than any of them he has real problems relaxing, which puts him square in the soul-as-will-and-idea tradition of Lou Gramm, Pat Boone, Sophie Tucker, and so many others.
"
FALSE,C-,Seed,Afro Celts,2003,https://www.robertchristgau.com/get_album.php?id=12192,"
Another U.K. band Americans don't need--musically, we're all Afrocelts, and uilleann pipes have nothing to do with it. Not that they have much to do with this oleaginous fusion unit, where a predictable surfeit of Celts--or at least white people, given headman Simon Emmerson's highly Anglo-Saxon surname--have long favored electronics and such pan-world signifiers as bouzouki, tabla, and flamenco guitar. Right, the aim is spiritual deep down--a way for Wiccans who only go to church on Halloween to get in touch with their inner shamans. So two Africans beat their ""tribal drums,"" as one admiring review ID'd them, while Emmerson and a late Pogue and a formerly Gaelic-only vocalist position themselves alongside a kora player whose hometown in Guinea has been electrified by a portion of their earnings. Next they should chip in some samplers. Music may come of this yet.
"
FALSE,C-,Hunting High and Low,A-Ha,1985,https://www.robertchristgau.com/get_album.php?id=4304,"
Quite aware that I don't qualify as a pubescent female, I tried to be understanding. It's not their fault they're blond, after all--they're Norwegian. But though they'd clearly have been better off raised closer to the blues--in Wales, say--the gutturals of fellow Scandinavians from Gasolin' to the Nomads suggest that their precious Yes-gone-Europop accents are chosen freely. Over music they probably exerted less control.
"
FALSE,C-,History/America's Greatest Hits,America,1975,https://www.robertchristgau.com/get_album.php?id=6305,"
Randy Newman once described ""A Horse With No Name"" as ""this song about a kid who thinks he's taken acid,"" and at least back then they were domesticating CSNY instead of CSN. More tuneful than Seals &amp; Crofts but with less to say, which they've managed to conceal by establishing meaningless highschool verse as a pop staple, they might be remembered as the '70s answer to the Association if they could come up with one song half as lively as ""Windy"" or ""Along Comes Mary.""
"
FALSE,C-,Anka,Paul Anka,1974,https://www.robertchristgau.com/get_album.php?id=6307,"
Sure ""You're Having My Baby"" is a cute little single. But the rest of the album is the usual abortion.
"
FALSE,C-,Bap-Tizum,Art Ensemble of Chicago,1973,https://www.robertchristgau.com/get_album.php?id=11442,"
I don't know much about art, but I know what I like.
"
FALSE,C-,Asia,Asia,1982,https://www.robertchristgau.com/get_album.php?id=4338,"
The art-rock Foreigner is a find--rare that a big new group is bad enough to sink your teeth into any more. John Wetton and Steve Howe added excitement to contexts as pretentious as King Crimson and Yes, but this is just pompous--schlock in the grand manner, with synthesizers John Williams would love. And after listening to two lyrics about why they like their girlfriends, three about ""surviving,"" and four about why they don't like their girlfriends, I'm ready for brain salad surgery. Inspirational Verse: ""So many lines/You've heard them all/A lie is every one/From men who never understand your personality.""
"
FALSE,C-,At This Time,Burt Bacharach,2005,https://www.robertchristgau.com/get_album.php?id=13089,"
When I ask myself which of the many horrible things about this adoringly promoted ""political"" record is the very worst, I'm tempted to go for broke and say the arrangements. For in truth, it is difficult to imagine circumstances under which the pop paragon's latest instrumental divertissements would signify. Chris Botti provides a few high points on trumpet--that's right, Chris Botti, high points, canceled out and then some by the anonymous saxophone soloist, who sounds to my unschooled ears like a moonlighting Kenny G. Then there are the weak yet obtrusive beats hired out to such humanitarians as Kon Artis and Dr. Dre. Rufus Wainwright doesn't really believe ""Love's the answer like I said before/It's the one thing needed maybe now even more,"" Elvis Costello maintains a suspicious distance from ""Who Are These People?"" before belting it with equally suspicious enthusiasm, and both outsing--by a lot--John Pagano (?), Josie James (?), and Donna Taylor (?), who in turn outsing--by a whole lot--chief vocalist Bacharach. Who are these people?
"
FALSE,C-,Another Journal Entry,Barlow Girl,2005,https://www.robertchristgau.com/get_album.php?id=13091,"
These three Christian sisters from Illinois specialize in arena-emo love songs to that perfect Guy, who unlike so many guys forgives them when they fail Him. One exception, if I'm not mistaken--and I may be, Christian code is a motherfucker--is ""5 Minutes of Fame,"" apparently a message song for the ""secondary virginity"" movement. Not that they're in need of the secondary kind themselves--they're lucky if ""maybe I gave in more than I should"" (for ""popularity"") recalls anything heavier than a copped feel. Here's hoping they meet Sufjan Stevens at prayer meeting.
"
FALSE,C-,Beck-Ola,Jeff Beck,1969,https://www.robertchristgau.com/get_album.php?id=10961,"
In which Jeff Beck and Rod Stewart induce Nicky Hopkins to be pretentious.
"
FALSE,C-,Two Years On,Bee Gees,1971,https://www.robertchristgau.com/get_album.php?id=6377,"
This is a little better than the LPs the Gibb brothers came up with during their separation--Cucumber Castle, which at least sold some, and the solo flop Robin's Reign. It does include a bizarre juxtaposition of Jerry Reed imitation and singing strings. But ""Lonely Days"" sounded more distinctive on the radio than it does among its epigones here--the collective vibrato is turning into a grating affectation. Presumably they broke up because they sensed that the formula was getting stale. To try to re-create it yet again is to guarantee the transformation from good commercial group to bad one.
"
FALSE,C-,The London Chuck Berry Sessions,Chuck Berry,1972,https://www.robertchristgau.com/get_album.php?id=6391,"
Though his backup for this promotion was less than stellar, Chuck Berry finally has an LP on the charts, which is certainly overdue recognition for the number one genius in rock and roll history. Only trouble is, the record is lousy. The live side is Chuck at his hoarsest, and ""My Ding-a-Ling"" isn't even funny the first time. The studio side is pure filler. Buy Chuck Berry's Golden Decade, More Chuck Berry, Chuck Berry's on Top, St. Louis to Liverpool, even Back Home. This doesn't do him justice.
"
FALSE,C-,B*Witched,B*Witched,1999,https://www.robertchristgau.com/get_album.php?id=5324,"
In teen pop as in world music, Gaelic signifies untouched by the tarbrush--Van Morrison, Phil Lynott, and The Commitments notwithstanding. And despite the saucy bits in ""C'est La Vie"" (first a ""You show me yours,"" then an ""I'll blow you [away]""!), this bid to whiten the Spice Girls is so clean you'll be hard-pressed to remember it's there--unless, like me, you get sick to your stomach at Uilleann hooks, mid-Atlantic brogues, and Enya lite. The obligatory rhythmic recitation, yclept ""Freak Out"" and declared ""too hot for hip hop,"" has less bottom than Audrey Hepburn and is over in two minutes. ""Like the Rose,"" unfortunately, takes four.
"
FALSE,C-,Keep the Faith,Black Oak Arkansas,1971,https://www.robertchristgau.com/get_album.php?id=11718,"
This group isn't even hawking revival--snake oil, that's all.
"
FALSE,C-,Black Sabbath,Black Sabbath,1970,https://www.robertchristgau.com/get_album.php?id=6408,"
The worst of the counterculture on a plastic platter--bullshit necromancy, drug-impaired reaction time, long solos, everything. They claim to oppose war, but if I don't believe in loving my enemies I don't believe in loving my allies either, and I've been worried something like this was going to happen since the first time I saw a numerology column in an underground newspaper.
"
FALSE,C-,Paranoid,Black Sabbath,1970,https://www.robertchristgau.com/get_album.php?id=6409,"
They do take heavy to undreamt-of extremes, and I suppose I could enjoy them as camp, like a horror movie--the title cut is definitely screamworthy. After all, their audience can't take that Lucifer bit seriously, right? Well, depends on what you mean by serious. Personally, I've always suspected that horror movies catharsized stuff I was too rational to care about in the first place.
"
FALSE,C-,Master of Reality,Black Sabbath,1971,https://www.robertchristgau.com/get_album.php?id=6410,"
As an increasingly regretful spearhead of the great Grand Funk switch, in which critics redefined GFR as a 1971 good old-fashioned rock and roll band even though I've never met a critic (myself included) who actually played the records, I feel entitled to put this in its place. Grand Funk is like an American white blues band of three years ago--dull. Black Sabbath is English--dull and decadent. I don't care how many rebels and incipient groovies are buying. I don't even care if the band members believe in their own Christian/satanist/liberal murk. This is a dim-witted, amoral exploitation.
"
FALSE,C-,Tear It Up--Live,Black Uhuru,1982,https://www.robertchristgau.com/get_album.php?id=4406,"
Third album's awful soon for a live one, you might think, and then notice that only one of the eight titles is on Red or Sinsemilla. That's because six of them can be found--in clearer, denser, trickier, scarier, longer versions--on 1979's Showcase, available as a Joe Gibbs import. ""Abortion"" is anti, natch, and Jah knows where they can stick it, but you'd never guess from these remakes how effective it and all Uhuru's early songs can be. Here in Babylon we call this kind of thing a scam.
"
