isSoundTrack,rank,album,artist,year,url,comment
FALSE,C,Arrival,Abba,1977,https://www.robertchristgau.com/get_album.php?id=6280,"
Since this is already the best-selling group in the universe, I finally have an answer when people ask me to name the Next Big Thing. What I wonder is how we can head them off at the airport. Plan A: Offer Bjorn and Benny the leads in Beatlemania (how could they resist the honor?) and replace them with John Phillips and Denny Doherty. Plan B: Appoint Bjorn head of the U.N. and Benny his pilot (or vice versa) and replace them with John Lennon and Paul McCartney. Plan C: Overexpose them in singing commercials. Plan D: Institute democratic socialism in their native land, so that their money lust will meet with the scorn of their fellow citizens.
"
FALSE,C,Greatest Hits Vol. 2,Abba,1979,https://www.robertchristgau.com/get_album.php?id=6281,"
Fourteen cuts, close to an hour of polyvinyl chloride, and only two of 'em made U.S. top ten. We have met the enemy and they are them.
"
FALSE,C,Forever Your Girl,Paula Abdul,1988,https://www.robertchristgau.com/get_album.php?id=4282,"
If Debbie Gibson already has platinum imitators, there's more to the world than is dreamt of in Madonna's philosophy. This unthreateningly dusky disco-dolly-next-door plays the field romantic-metaphorwise, with a weakness for can't-help-myself. She's less imitator than imitation, short on tokens of self-creation--her only writing credit is also the only time she threatens to play around.
"
FALSE,C,For Those About to Rock We Salute You,AC/DC,1981,https://www.robertchristgau.com/get_album.php?id=4287,"
Brian Johnson takes over, defining an anthemic grandiosity more suitable to their precious-metal status than Bon Scott's old-fashioned raunch. Also dumber. ""Let's Get It Up"" is a limited sentiment in any case. But I'd appreciate some indication that Johnson knows the difference between his dick and the light tower.
"
FALSE,C,29,Ryan Adams,2005,https://www.robertchristgau.com/get_album.php?id=13210,"
Adams's fourth and final 2005 CD--Cold Roses was a double, remember?--comprises nine verbose tales and laments. None are fast, six are slow, six amble past five minutes, and all seem to go on forever. Occasional rhythm tracks notwithstanding, the music is dominated by Adams's desultory guitar, please-not-more piano, and sensitive vocals. Although September's Jacksonville City Nights was the mess a lesser talent would have barfed up years ago, puffs of tune and vapor trails of feeling did waft briefly from its twangy swamp. These meanderings are the kind of indulgence that ends label deals. If I were Luke Lewis, all that would stop me would be the outpourings of personal vituperation and musical self-pity certain to ensue.
"
FALSE,C,Songs About Me,Trace Adkins,2005,https://www.robertchristgau.com/get_album.php?id=12903,"
Adkins is one of these guys who spends so much time in the weight room that his arms don't hang plumb from his shoulders. In the rear view thoughtfully provided his female fans in the booklet, only his ponytail and his cowboy hat distinguish him from the Incredible Hulk. You'd never confuse him with the similarly named Clay Aiken, a much wimpier guy, and not just in the delts--Adkins's baritone sounds like it emanates from the Mammoth Cave. But in the most essential matter you'd be dead wrong. Track record notwithstanding, the ex-gospel singer is every bit as much a calculated corporate creation as the duly elected idol. The 11 songs on this No. 1 country, No. 11 pop album were written by 23 songwriters, only one of whom has his name on even two. The most far-fetched is ""Arlington,"" in which Dave Turnbull vouchsafes the patriotic thoughts of a dead soldier--to be specific, the first Tennesseean to die in our current Iraq war--to former DUI Adkins. Needless to say, the artist suffers no anxieties over exactly why any of these songs he didn't write is ""about me."" These are ""songs I've been waiting to record for my entire career."" Especially ""Honky Tonk Badonkadonk.""
"
FALSE,C,Change,The Alarm,1989,https://www.robertchristgau.com/get_album.php?id=4307,"
Breaking on through, they sounded a lot like the Clash. College radio staples, they sound a lot like U2. Ain't artistic evolution somethin'?
"
FALSE,C,"Win, Lose or Draw",The Allman Brothers Band,1975,https://www.robertchristgau.com/get_album.php?id=6293,"
I've been telling cynics that the Brothers haven't broken up. Now I feel like maybe I was taken.
"
FALSE,C,Blue River,Eric Andersen,1972,https://www.robertchristgau.com/get_album.php?id=6306,"
I was ready to discard this but because it was so pretty I suffered second thoughts, which is too bad for both of us. In 1967, Andersen sounded like early electric Dylan, so now he sounds like . . . James Taylor. He's honest enough to back himself with a girlie chorus, but that's as far as his honesty goes. If I'm liable to run into noodleheads like Andersen walking down some country road, I'll feel safer in Central Park.
"
FALSE,C,Unplugged,Arrested Development,1993,https://www.robertchristgau.com/get_album.php?id=5882,"
Let the record show that they loved the people so much that with all deliberate greed they ""rearranged"" half of their biggest and only album for quick resale. Let the record show that to stretch the material to full-price length they basted on a fashion sermon and seven as-I-would-say ""versions."" And let the record show that the people understood their spiritual needs so poorly that the resulting live and MTV-approved product lingered a mere 12 weeks on the charts, never rising above 60. The revolution will be hard, brothers and sisters.
"
FALSE,C,Chapter II,Ashanti,2003,https://www.robertchristgau.com/get_album.php?id=12194,"
Thug moll no more, Ashanti posits the musical question, ""Why do gangsta boys go out with candy-pop girls?"" Beyond some Mary moves and her sample-ready ""awww baby,"" the sole outright attraction of her pathologically modest follow-up is ""Then Ya Gone,"" which turns out to be about lovers dying rather than lovers leaving--although at Murder Inc., leaving is all they do, right?
"
FALSE,C,Gimme Something Real,Ashford & Simpson,1973,https://www.robertchristgau.com/get_album.php?id=6319,"
Can this marriage be saved? The problem: Good-but-not-great songwriters whose lush sentimentality would have been unforgivable had they worked for a white company instead of Motown leave Motown for white company. The doctor replies: if they develop the intestinal fortitude to go along with their own vocal limitations, they may not end up the Peaches &amp; Herb of middle-class soul. What did they say? ""Time is the space between you and me""? Well, sounds like a breakdown of communication as well.
"
FALSE,C,Champagne Jam,The Atlanta Rhythm Section,1978,https://www.robertchristgau.com/get_album.php?id=6330,"
You can tell these guys are from Atlanta--it says so right in the name. So why do they sound like lazy Eagles? Why have they concocted a title that is the rock and roll equivalent of ""cocktail jazz""? And when are they going to change their name officially to ARS, as in AWB?
"
FALSE,C,The House on the Hill,Audience,1971,https://www.robertchristgau.com/get_album.php?id=6331,"
You remember how in the old days when they wanted to convey how really far out ""rock"" was getting they'd say that a musician had ""studied at Juilliard""? Always turned out to mean he or she was too dippy to play real rock and roll, but we were young. Well, now we're older, so when it says Howard Werth plays ""electric classical guitar"" we know what it means. No matter how desperate things get. Right?
"
FALSE,C,Sense and Sensuality,Au Pairs,1982,https://www.robertchristgau.com/get_album.php?id=193,"
The renown of this sorry punk-funk gone pop-jazz is as depressing as anything in the annals of Anglophilia. Lesley Woods's line on free love is as priggish as the rest of her leftism and her separate-but-equal rhythm section couldn't make the earth move if one of them played tractor. Don't blame me for the metaphor, either--it's Lesley's, by way of famed protofeminist E. Hemingway, which proves that she's either open-minded or just plain dumb. Not since the Stranglers has a Brit group sexed it up so unconvincingly.
"
FALSE,C,Feel No Fret,Average White Band,1979,https://www.robertchristgau.com/get_album.php?id=6335,"
Once their name was a candid joke about their limits, their values, and their aspirations. Now it's a flat statement of fact. Swinging California pop in the manner of the Doobie Brothers and Pablo Cruise, cool in its passions and its rhythms and uninspired in its composition, and who cares who got there first.
"
FALSE,C,Never Gone,Backstreet Boys,2005,https://www.robertchristgau.com/get_album.php?id=13090,"
Lest you doubted it, this is grotesque, and not just because stardom ruined Nick Carter like so many young people before him. It's more that nobody loves a man group. Blue-balled yearning becomes AJ-said-you-swallowed whining, which wasn't the formal challenge their Swedish Svengalis signed on for. Maybe they could learn their instruments and call themselves a man band, which rhymes. An album of Four Lads covers is also a thought.
"
FALSE,C,Desolation Angels,Bad Company,1979,https://www.robertchristgau.com/get_album.php?id=6342,"
This is supposedly a return to form after Burning Sky, and it may be. I'll just say that if I'd never mistake them for Free anymore, I'd never mistake them for Foreigner either. I don't think. P.S. Are those syndrums on ""Evil Wind""? Naughty, naughty.
"
FALSE,C,Diamonds and Rust,Joan Baez,1975,https://www.robertchristgau.com/get_album.php?id=11516,"
Recently, one of her lilting legions accused us non-lilters of being emotionally deaf. The other possibility is that she's emotionally dumb.
"
FALSE,C,It Ain't Easy,Long John Baldry,1971,https://www.robertchristgau.com/get_album.php?id=6348,"
You know how it is with English blues giants--he ain't so big, he's just tall, that's all.
"
FALSE,C,Two Suns,Bat for Lashes,2009,https://www.robertchristgau.com/get_album.php?id=14544,"
The opening ""Glass"" does indeed deploy what a Pitchfork raver designates a ""strange mix of elements (chamber pop, prog metal, new age--what?) magically coalesced into some entirely new genre that I wish existed and yet still can't quite wrap my brain around."" If you suspect, correctly, that this so-called genre is unworthy of your brainlength, Natasha Khan will make you cringe. Compared to Kate Bush, Bjï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½rk, even Joanna Newsom, she's an etherhead, as ill-informed about astronomy as she is about love. That said, the beauteous Eurasian hippie does get a little grounded when she dons a blonde wig and""evil, evil,"" though to me she just seems confused. Grounded or ethereal, Khan has the kind of pretty, proper British accent that young men find fetching when linked to ill-informed mentions of goodbye beds and licking her clean. She has hitched her modest talent to an art-rock wagon she won't outpace anytime soon.
"
FALSE,C,Bay City Rollers,Bay City Rollers,1975,https://www.robertchristgau.com/get_album.php?id=6363,"
I was hoping I wouldn't have to mention this, but the single has made the push to the top. So . . . what you figured, too bland to be offensive yet, more Partridge Family than Osmonds. Noormal geeze just like yew.
"
