word,frequency
own,10
new,10
such,9
good,8
bad,8
first,8
inspirational verse,6
few,6
only,6
much,6
big,5
inspirational,4
drum solos,4
stevie winwood,4
joe 's,4
james william guercio,4
black,4
real,4
right,4
other,4
last,4
concept album,4
nice,4
heathenish thoughts,4
keith emerson,4
bad name,4
colostomy bag,4
live,3
mad,3
wrong,3
second,3
great,3
american,3
original,3
second-line,3
long,3
vocal,3
little,3
white,3
enough,3
mary 's arms,2
me/we 're,2
poor wanderin,2
seed money,2
thatcher 's enterprise allowance scheme,2
tape op,2
tea boy,2
stock aitken waterman,2
full set,2
beefcake juicier,2
