isSoundTrack,rank,album,artist,year,url,comment
FALSE,D,Measure of a Man,Clay Aiken,2003,https://www.robertchristgau.com/get_album.php?id=12193,"
Thank ""God, the Alpha"" and ""Jesus Christ, the Omega."" Also Clive Davis, the Phi Beta Kappa. Plus several people named Simon. After whom come Chris Braide, Danielle Brisebois, Gary Burr, Andreas Carlsson, Jess Cates, Desmond Child, Cathy Dennis, Kara Dioguardi, David Eriksen, Jeff Franzel, Pete Gordeno, Jimmy Harry, Darren Hayes, Wayne Hector, Enrique Iglesias, Ty Lacy, Dennis Matkosky, Steve Morales, Aldo Nova, Rick Nowels, Lindy Robbins, David Siegel, Shep Solomon, and Reed Vertelney, who among them somehow managed to write all of this would-be idol's 12 songs.
"
FALSE,D,The Legend Lives Forever in Latin,Doctor Ammondt,1995,https://www.robertchristgau.com/get_album.php?id=5914,"
For the prelate who has everything, a Finnish (naturally) musicologist sings all of seven Elvis songs, including the oft-requested ""Wooden Heart (Cor ligneum),"" in what sounds from here like Eye-talian, but nobody's asking me. The style is Eurovision, the orchestration boilerplate, the voice tender and mild. Just thought you should know.
"
FALSE,D,Music for Babies,Howie B.,1996,https://www.robertchristgau.com/get_album.php?id=5928,"
On a major label yet, the Skylab instructor and U2 pet takes the aimless vapidity of ambient another step toward total stasis. Lullabyes are universal. Crib death needn't be.
"
FALSE,D,A New Day,Theo Bikel,1969,https://www.robertchristgau.com/get_album.php?id=10871,"
Sometimes I believe Warner Brothers can do no wrong. Well, this is wrong. Producer Richard Perry has done great things for Ella Fitzgerald and Fats Domino, but Bikel is beyond salvation. If he's a second-rate musical comedy star and a fourth-rate folkie, he's a sixth-rate contemporary singer. And I still call him Theodore.
"
FALSE,D,Birtha,Birtha,1972,https://www.robertchristgau.com/get_album.php?id=6401,"
""Hi! I'm Chickie! Fly me to Quaalude!"" In which Gabriel Mekler, sly devil, combines heavy clichï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s with four female musicians, none of whom seem to have las""She Was Good to Me,"" so maybe they're a buncha dykes or love their mothers. This could all be rationalized by some eager feminist theorist--women have never played macho rock before, and last names are patronymics after all--but it would still be lousy music.
"
FALSE,D,High on the Hog,Black Oak Arkansas,1974,https://www.robertchristgau.com/get_album.php?id=6407,"
For two years, BOA has toured harder than any band in history, with the biggest booking agent in the country breaking a trail of busted chops in front of them, and they still can't sell out the Academy of Music on a Saturday night. Why might that be? Because unlike most similar bands they have never achieved competence--they are actively untalented, incapable of even an interesting cop.
"
FALSE,D,You Light Up My Life,Debby Boone,1977,https://www.robertchristgau.com/get_album.php?id=6442,"
Who cares if the single sells six million? It's only singles, y'know? Trendsetters don't buy singles. Smart people like you and me don't buy singles. But now I read that the album has gone platinum, too.
"
FALSE,D,Blues for We,Mel Brown,1969,https://www.robertchristgau.com/get_album.php?id=10832,"
Bad album by an excellent guitarist. The fault is mostly in the production, which instead of dealing up obvious goop in the manner of Shorty Rogers and Harvey Mandel is so eclectic that it almost functions as a parody of eclecticism. Contains eight cuts: one black soul, one white soul, one country, one Lennon-McCartney, one bubblegum, one trad jazz, one blues, and one avant-garde jazz. Brown ain't that good. If you get turned on to him, try: ""The Wizard"" instead. Scanty personnel listings.
"
FALSE,D,This Is Bull,Bull,1971,https://www.robertchristgau.com/get_album.php?id=6505,"
Speak for yourself, Ferdinand.
"
FALSE,D,Cross Country,Cross Country,1973,https://www.robertchristgau.com/get_album.php?id=6659,"
Move over, Arthur, Hurley &amp; Gottlieb--these guys make Crosby, Stills, Nash &amp; Young sound like Crosby &amp; Young. Key line: ""I'm just a choir boy doing what I can.""
"
FALSE,D,Greatest Hits,Mac Davis,1979,https://www.robertchristgau.com/get_album.php?id=6680,"
Nashville's answer to Barry Manilow is a singer (and songwriter) so smarmy he can make bringing up a son sound as unclean as finding, feeling, fucking, and forgetting.
"
FALSE,D,Into the Labyrinth,Dead Can Dance,1993,https://www.robertchristgau.com/get_album.php?id=12110,"
Any doubt that pop medievalism equals pop exoticism and both are the worse for it is put to rest by trance-dance's answer to Enya, who cheapen ideas that heretofore were merely shite with tunes to uplift or gull the unenlightened masses.  Since this will give said masses the wrong idea--something about anything you don't understand being mysterious so long as it's geographically or historically remote (hence not your own self-deluded life)--that just makes the music worse.
"
FALSE,D,Aerie,John Denver,1971,https://www.robertchristgau.com/get_album.php?id=11717,"
Some sort of nadir among commercially successful singer-songwriter records. The voice and the songs are tepid and uninteresting, as if the mid-'60s folk sensibility and the stringless/hornless instrumentation. There's more originality and spirit in Engelbert Humperdinck. If James is a wimp, John is a simp, and that's apparently even worse.
"
FALSE,D,Don't Call Me Mama Anymore,Cass Elliott,1973,https://www.robertchristgau.com/get_album.php?id=11443,"
How about Fatso?
"
FALSE,D,Exuma,Exuma,1970,https://www.robertchristgau.com/get_album.php?id=11247,"
Jive Dr. John? Yes, jive Dr. John.
"
FALSE,D,Tom Fogerty,Tom Fogerty,1972,https://www.robertchristgau.com/get_album.php?id=15519,"
This is not incompetent, but it is exceptionally unoriginal--even a pretension or two would be welcome. Good thing identity crises weren't so fashionable in the days of David and Ricky Nelson.
"
FALSE,D,Richard Nixon: A Fantasy,David Frye,1973,https://www.robertchristgau.com/get_album.php?id=15189,"
Buddah isn't just hedging when it disclaims any ""special or political"" intent on this one. Unfortunately, the label forgot to mention humorous intent. All the good jokes are available on the radio ad.
"
FALSE,D,Leif Garrett,Leif Garrett,1977,https://www.robertchristgau.com/get_album.php?id=11377,"
This is not punk rock. And it isn't Shaun Cassidy, either.
"
FALSE,D,Pre-Creedence,The Golliwogs,1975,https://www.robertchristgau.com/get_album.php?id=11279,"
Anyone who tells you this accumulation of failed singles and unreleased tapes recaptures the fabulous rock and roll of yore must have spent 1966 in a garage trying to figure out the changes to ""She's Not There."" Tom Fogerty dominates, and back then the production was even duller than his singing and writing; John begins to sound like himself only on the two final cuts.
"
FALSE,D,The End of the Game,Peter Green,1971,https://www.robertchristgau.com/get_album.php?id=6947,"
The brains behind Fleetwood Mac has always been a double threat because he's also the fingers--I've heard him keep up with Jerry Garcia on a good night. Here he lags behind Garcia on a bad jag, say side four of Live/Dead. Note title--maybe he's lost his marbles.
"
FALSE,D,The Guess Who,The Guess Who,1969,https://www.robertchristgau.com/get_album.php?id=10840,"
Apparently a compilation of old cuts (""Released through license from Quality Record Ltd.,"" the fine print says) this is recommended only to Guess Who scholars. They sure have come a ways. One original song, ""Stop Teasing Me,"" distinguishes itself as the most perfect early-Beatles copy this side of ""Lies"" by the Knickerbockers.
"
FALSE,D,Rock Classics,Peter Hofmann,1983,https://www.robertchristgau.com/get_album.php?id=4967,"
If all ten selections were as hilariously wrong as ""The House of the Rising Sun,"" which kicks off this chenu-wine Cherman heldentenor's bid for the unwashed market, it might qualify as a camp masterpiece. Instead it's merely dreadful, an object lesson in how poorly the technical paraphernalia of European good-and-beautiful serve American pop. You can hear why the effortless purity of Hofmann's three-octave range gets over with opera enthusiasts--Judy Collins would kill a whale for it. But ""Bridge Over Troubled Water"" has never sounded lovelier than in Simon &amp; Garfunkel's original because their fragile harmonies underscore the modesty that makes the melody soar. And if not even Ray Charles could make much of ""The Long and Winding Road,"" he also had the good sense to avoid ""MacArthur Park"" and ""Nights in White Satin"" altogether. What is it they're supposed to have over in Europe? Oh, I remember--taste.
"
