isSoundTrack,rank,album,artist,year,url,comment
FALSE,S,One in a Million,Aaliyah,1996,https://www.robertchristgau.com/get_album.php?id=10336,"
""Got to Give It Up""
"
FALSE,S,Another One Gone,Safi Abdullah,1990,https://www.robertchristgau.com/get_album.php?id=10338,"
""Afrika Is Burning '89""; ""Another One Gone""
"
FALSE,S,Colonia,A Camp,2009,https://www.robertchristgau.com/get_album.php?id=14543,"
""The Crowning""
"
FALSE,S,Magnificent City,Aceyalone,2006,https://www.robertchristgau.com/get_album.php?id=13254,"
""Junior""
"
FALSE,S,Heartbreaker,Ryan Adams,2000,https://www.robertchristgau.com/get_album.php?id=10740,"
""To Be Young (Is To Be Sad, Is To Be High)""
"
FALSE,S,C.C. Adcock,C.C. Adcock,1994,https://www.robertchristgau.com/get_album.php?id=10340,"
""Done Most Everything""; ""Do Right Lil' Lady""
"
FALSE,S,Just Push Play,Aerosmith,2001,https://www.robertchristgau.com/get_album.php?id=11110,"
""Jaded""
"
FALSE,S,"Fast Cars, Danger, Fire and Knives",Aesop Rock,2005,https://www.robertchristgau.com/get_album.php?id=12843,"
""Holy Smoke""
"
FALSE,S,What Jail Is Like,Afghan Whigs,1994,https://www.robertchristgau.com/get_album.php?id=10341,"
""My World Is Empty Without You/I Hear a Symphony""; ""Mr. Superlove""
"
FALSE,S,Bloodlines,Terry Allen & the Panhandle Mystery Band,1993,https://www.robertchristgau.com/get_album.php?id=10342,"
""Gimme a Ride to Heaven Boy""
"
FALSE,S,And the Music Speaks,All-4-One,1995,https://www.robertchristgau.com/get_album.php?id=10343,"
""We Dedicate""; ""I Could Love You Like That""
"
FALSE,S,Brooke Allison,Brooke Allison,2001,https://www.robertchristgau.com/get_album.php?id=11600,"
""The Kiss-Off (Goodbye)""
"
FALSE,S,Revenge Ov Da Badd Boyz,The Almighty RSO,1994,https://www.robertchristgau.com/get_album.php?id=10344,"
""One in the Chamba""
"
FALSE,S,Something Special: Ska Hot Shots,Roland Alphonso,2000,https://www.robertchristgau.com/get_album.php?id=10776,"
""El Pussy Cat Ska (Take 2)""; ""Jack Ruby""; ""From Russia With Love""
"
FALSE,S,West of the West,Dave Alvin,2006,https://www.robertchristgau.com/get_album.php?id=13413,"
""Don't Look Now""
"
FALSE,S,Interstate City,Dave Alvin and the Guilty Men,1996,https://www.robertchristgau.com/get_album.php?id=10345,"
""Interstate City""
"
FALSE,S,Dave Alvin and the Guilty Women,Dave Alvin and the Guilty Women,2009,https://www.robertchristgau.com/get_album.php?id=14693,"
""Boss of the Blues,"" ""Nana and Jimi""
"
