isSoundTrack,rank,album,artist,year,url,comment
FALSE,*,Nursery Boys Go Home!,Abana Ba Nasery,1992,https://www.robertchristgau.com/get_album.php?id=14,"
""the guitar and bottle kings of Kenya""--sometimes charming, sometimes too charming (""Esiesi Siolle,"" ""Elira Yesu Ndayanza"")
"
FALSE,*,Absolutely,ABC,1990,https://www.robertchristgau.com/get_album.php?id=8681,"
a career downhill--hear Martin Fry turn into the disco whore he begins by parodying so lovingly (""The Look of Love,"" ""S.O.S."")
"
FALSE,*,Tweet Tweet,Abraham Inc.,2010,https://www.robertchristgau.com/get_album.php?id=14987,"
Klezmatic David Krakauer lures JB Fred Wesley into hip-hop fusion for midlife crisis survivors (""Tweet Tweet,"" ""Abe Inc Techno Mix"").
"
FALSE,*,These Days,Ab-Soul,2014,https://www.robertchristgau.com/get_album.php?id=16991,"
In love with a suicide in a world controlled by forces he can't quite grasp, half-blind autodidact retains more brain if not reason than the average black hippy (""Closure,"" ""Sapiosexual"")
"
FALSE,*,Rock N Roll,Ryan Adams,2003,https://www.robertchristgau.com/get_album.php?id=12410,"
Sound effects, emotional affects, he's got 'em all (""Note to Self: Don't Die,"" ""This Is It"")
"
FALSE,*,Cold Roses,Ryan Adams & the Cardinals,2005,https://www.robertchristgau.com/get_album.php?id=12945,"
Nine songs per disc, evenly divided good-dull-OK, only the first disc--he's full of surprises--is stronger (""Easy Plateau,"" ""Beautiful Sorta"").
"
FALSE,*,19,Adele,2008,https://www.robertchristgau.com/get_album.php?id=14176,"
Still just a teenager, a practical romantic gets by without acting cheeky (""Daydreamer,"" ""Tired"").
"
FALSE,*,Running From the Blows,Adult Books,2016,https://www.robertchristgau.com/get_album.php?id=16729,"
LA ""surf-punk"" unit tops off medium-catchy full-length with Ramones-worthy scene chant and mock-escapist teen dream. (""Silverlake Goths,"" ""Suburban Girlfriend"")
"
FALSE,*,Bazooka Tooth,Aesop Rock,2003,https://www.robertchristgau.com/get_album.php?id=12175,"
Fathomless beats an adventure, impenetrable lyrics a drag (""Babies With Guns,"" ""Limelighters"").
"
FALSE,*,Black Love,Afghan Whigs,1996,https://www.robertchristgau.com/get_album.php?id=28,"
doesn't know the Prince of Darkness as well as he thinks he does (""Double Day,"" ""Going to Town"")
"
FALSE,*,The Virgin Suicides,Air,2000,https://www.robertchristgau.com/get_album.php?id=5308,"
Already de facto soundtrack, they didn't need a real movie to distract them from meaning something (""Ghost Song,"" ""Dirty Trip"").
"
FALSE,*,The Airborne Toxic Event,The Airborne Toxic Event,2008,https://www.robertchristgau.com/get_album.php?id=14611,"
Has his head screwed on better than most professionally overwrought young men (""Sometime Around Midnight,"" ""Gasoline"").
"
FALSE,*,No Shame,Lily Allen,2018,https://www.robertchristgau.com/get_album.php?id=17334,"
Thrown out of whack by bad romance and worse social media, she's no longer so clever about putting up a front or hiding behind a tune, but don't assume it's permanent--not yet (""Three,"" ""My One"")
"
FALSE,*,Human Remains,Terry Allen,1996,https://www.robertchristgau.com/get_album.php?id=3442,"
autumnal Austin (""Peggy Legg,"" ""Crisis Site 13"")
"
FALSE,*,All-4-One,All-4-One,1994,https://www.robertchristgau.com/get_album.php?id=94,"
color them goodd (""I Swear,"" ""The Bomb"")
"
FALSE,*,All Saints,All Saints,1998,https://www.robertchristgau.com/get_album.php?id=97,"
selves-made prefab (""Trapped,"" ""If You Want To Party"").
"
FALSE,*,La Confusion,Amadou & Mariam,2017,https://www.robertchristgau.com/get_album.php?id=17247,"
This is who they are, and it remains a heroic story, but extra synth wash cannot disguise what an awkward time it is to put a Malian stamp on feel-good dance-pop (""Bofou Safou, ""La Confusion"")
"
FALSE,*,Lust,Ambitious Lovers,1991,https://www.robertchristgau.com/get_album.php?id=166,"
normal don't suit him (""Tuck It In,"" ""Umbabarauma"")
"
FALSE,*,Easy Money,John Anderson,2007,https://www.robertchristgau.com/get_album.php?id=13627,"
Aided by his godson John Rich, he achieves ""funky country"" once again--but not when he puts it that way (""Brown Liquor,"" ""A Woman Knows"").
"
FALSE,*,Life on a String,Laurie Anderson,2001,https://www.robertchristgau.com/get_album.php?id=10211,"
in Juilliard-style postmodern artsong, ""can't sing"" is perhaps an advantage (""Slip Away,"" ""The Island Where I Come From"")
"
FALSE,*,My Songs Are the House I Live In,Thomas Anderson,2017,https://www.robertchristgau.com/get_album.php?id=17168,"
Reports from an inquiring mind and the Texas plain that benefit from the judicious application of irony and drum machine (""Encyclopedia,"" ""Johnny's Gone Driving"")
"
FALSE,*,Venice,Anderson .Paak,2014,https://www.robertchristgau.com/get_album.php?id=16734,"
Really good at sex, and not only that--also really really good at sex (""I Miss That Whip,"" ""Drugs"")
"
FALSE,*,Strawberry Jam,Animal Collective,2007,https://www.robertchristgau.com/get_album.php?id=13746,"
""The other side of takeout is mildew on rice"" convinced me that they Know Life--but then I started to wonder again (""Peacebone,"" ""Cuckoo Cuckoo"").
"
FALSE,*,Merriweather Post Pavilion,Animal Collective,2009,https://www.robertchristgau.com/get_album.php?id=14490,"
Sunny down snuff they're all right with the heroes and villains (""My Girls,"" ""Brother Sport"").
"
FALSE,*,Anniemal,Annie,2005,https://www.robertchristgau.com/get_album.php?id=12944,"
She can't be saying ""greatest tits""--she's just too thin (""Chewing Gum,"" ""Greatest Hit"").
"
FALSE,*,Who Is This America?,Antibalas,2004,https://www.robertchristgau.com/get_album.php?id=12515,"
Mostly instrumentals, and no longer do they fade into nothingness up against Fela (""Indictment,"" ""Obanla'e"").
"
FALSE,*,Rope-a-Dope,Antietam,1995,https://www.robertchristgau.com/get_album.php?id=139,"
at long last rock-a-roll--by which I mainly mean a handful of decent songs, honest (""Hands Down,"" ""Graveyard"")
"
FALSE,*,Tragic Epilogue,Anti-Pop Consortium,2000,https://www.robertchristgau.com/get_album.php?id=140,"
Their beats are as abstract and chewy as their rap, and how good that is is up to you (""Rinseflow,"" ""Your World Is Flat"").
"
FALSE,*,Let's Go!,The Apples in Stereo,2001,https://www.robertchristgau.com/get_album.php?id=10177,"
best of the Powerpuff Girls plus collectibles (""Heroes and Villains,"" ""Signal in the Sky [produced version]"")
"
FALSE,*,Vitus Tinnitus,Archers of Loaf,1997,https://www.robertchristgau.com/get_album.php?id=148,"
buy the EP, then see the show (""Nostalgia,"" ""Audiowhore"")
"
FALSE,*,A.R.E. Weapons,A.R.E. Weapons,2003,https://www.robertchristgau.com/get_album.php?id=12032,"
we will, we will shoot you (""Don't Be Scared,"" ""Hey World"")
"
FALSE,*,Square the Circle,Joan Armatrading,1992,https://www.robertchristgau.com/get_album.php?id=1712,"
in her search for love may she record forever (""True Love,"" ""Weak Woman"")
"
FALSE,*,Ashanti,Ashanti,2002,https://www.robertchristgau.com/get_album.php?id=11349,"
shallow orgasms aren't bad orgasms, but she could probably do better with her own hand (""Foolish,"" ""Rescue"")
"
FALSE,*,Race to the Bottom,Andre Afram Asmar,2003,https://www.robertchristgau.com/get_album.php?id=12287,"
Ambient Arabized dub ethnotechno, for chilling out without altogether forgetting you have a body (""Scientism,"" ""Rajamatshitan"")
"
FALSE,*,The Asylum Street Spankers,Asylum Street Spankers,1997,https://www.robertchristgau.com/get_album.php?id=8685,"
like the Squirrel Nut Zippers only older, funnier, and named after a Texan Candy Barr (""Mama Don't Allow,"" ""Chinatown"")
"
FALSE,*,Now I'm a Cowboy,The Auteurs,1994,https://www.robertchristgau.com/get_album.php?id=3461,"
only one auteur here, and his success has gone to his songs (""Chinese Bakery,"" ""Lenny Valentino"")
"
FALSE,*,A Much Better Tomorrow,Automator,2000,https://www.robertchristgau.com/get_album.php?id=5194,"
Remixed 1996 DIY EP plus more Kool Keith and atmospherics (""Buck Buck,"" ""King of NY"").
"
FALSE,*,Emotionalism,The Avett Brothers,2007,https://www.robertchristgau.com/get_album.php?id=14778,"
Victims of the folkie fallacy that unambiguous lyrics require unadorned instrumentation (""Die Die Die,"" ""The Ballad of Love and Hate"").
"
FALSE,*,Salvamm'o Munno (Save the World),Enzo Avitabile & Bottari,2004,https://www.robertchristgau.com/get_album.php?id=12981,"
Neapolitan saxophonist, Calabrian percussionists, and world-music luminaries exert their goodwill (""Porto Alegre,"" ""O Munno Se Move"").
"
FALSE,*,Funkcronomicon,Axiom Funk,1995,https://www.robertchristgau.com/get_album.php?id=196,"
P-Funk with Bill Laswell's sense of humor, God help us (""Free-Bass [Godzillatron Cush],"" ""Orbitron Attack"")
"
FALSE,*,Craft Classic,Azeem,2001,https://www.robertchristgau.com/get_album.php?id=11025,"
how we all like our conscious--with a sense of humor (""Imma RMX,"" ""No Lexus"")
"
FALSE,*,The Greatest Hits,Baby Bird,1997,https://www.robertchristgau.com/get_album.php?id=8686,"
needs a whole lot less of Jesus and a lot more rock and roll (""Man's Tight Vest,"" ""In the Morning"")
"
FALSE,*,Dances of Resistance,Babylon Circus,2008,https://www.robertchristgau.com/get_album.php?id=13992,"
Parisians concoct polyglot Gypsy ska for peace and justice (""Dances of Resistance,"" ""Warlord"").
"
FALSE,*,The Youth Are Getting Restless,Bad Brains,1990,https://www.robertchristgau.com/get_album.php?id=227,"
live 1987, when skank-wise hyperkinesis was still a cultural mission (""Day Tripper/She's a Rainbow,"" ""At the Movies"")
"
FALSE,*,Against the Grain,Bad Religion,1990,https://www.robertchristgau.com/get_album.php?id=229,"
life still sucks (""21st Century (Digital Boy)"")
"
FALSE,*,Generator,Bad Religion,1992,https://www.robertchristgau.com/get_album.php?id=230,"
in lieu of the future, they'll accept nice neighbors and the occasional stroll (""Too Much To Ask,"" ""Generator"")
"
FALSE,*,Stranger Than Fiction,Bad Religion,1994,https://www.robertchristgau.com/get_album.php?id=231,"
keeping the bad faith (""Incomplete,"" ""Hooray for Me"")
"
FALSE,*,The Gray Race,Bad Religion,1996,https://www.robertchristgau.com/get_album.php?id=233,"
now actually the Greg Graffin Group, as you can tell with a scorecard (""Punk Rock Song,"" ""One in Twenty Ten"")
"
FALSE,*,Baduizm,Erykah Badu,1997,https://www.robertchristgau.com/get_album.php?id=1194,"
for one thing, Billie didn't write her own material (""Rimshot,"" ""Afro"")
"
FALSE,*,Cotton,Sam Baker,2009,https://www.robertchristgau.com/get_album.php?id=14813,"
Some hard times come again, others never leave (""Palestine II,"" ""Cotton"").
"
FALSE,*,The First Time,Kelsea Ballerini,2015,https://www.robertchristgau.com/get_album.php?id=16798,"
Hey--a Nashville Taylor Swift surrogate who literally grew up in Tennessee (listening to Britney and Xtina). (""Dibs,"" ""Second Hand Smoke"")
"
FALSE,*,The Best of the Band Volume II,The Band,1999,https://www.robertchristgau.com/get_album.php?id=3467,"
Pretty fair country bar group/cover band (""Blind Willie McTell,"" ""Atlantic City"").
"
FALSE,*,Everything All the Time,Band of Horses,2006,https://www.robertchristgau.com/get_album.php?id=13408,"
Echoed melisma and felt folk-rock drones for Generation Sad (""First Song,"" ""Weed Party"").
"
FALSE,*,Cease to Begin,Band of Horses,2007,https://www.robertchristgau.com/get_album.php?id=13850,"
In a year you'll still remember most of these tunes, and you'll still wish it didn't take 34 minutes to get through 10 of them (""No One's Gonna Love You,"" ""Cigarettes, Wedding Bands"").
"
FALSE,*,Classics,Bang on a Can,2002,https://www.robertchristgau.com/get_album.php?id=11863,"
""a little classical music my friends, 'Cheating, Lying, Stealing' . . ."" (""Cheating, Lying, Stealing,"" ""Red Shift"")
"
FALSE,*,Cripple Crow,Devendra Banhart,2005,https://www.robertchristgau.com/get_album.php?id=13128,"
Kind of charming, with two songs so cute they should be sung by Cyndi Lauper and Paul Westerberg, respectively (""Chinese Children,"" ""I Feel Just Like a Child"").
"
FALSE,*,Voice of Jamaica,Buju Banton,1993,https://www.robertchristgau.com/get_album.php?id=493,"
praise Jah--neither ""Wicked Act"" nor ""If Loving Was a Crime"" bats boys of any sort (""Wicked Act,"" ""Deportees [Things Change]"")
"
FALSE,*,Don't You Feel My Leg,"Blue Lu Barker, Wee Bea Booze, and Baby Dee",1996,https://www.robertchristgau.com/get_album.php?id=10245,"
half a century later, sex as pleasure, respite, gift, medium of exchange, and cliche (""Don't You Feel My Leg,"" ""Buy Me Some Juice,"" ""I Feel Like Laying in Another Woman's Husband's Arms"")
"
FALSE,*,Bitter Honey,Eef Barzelay,2006,https://www.robertchristgau.com/get_album.php?id=13281,"
The best of these songs are so perfectly put they thrive solo acoustic--but could still use a band (""Ballad of Bitter Honey,"" ""I Wasn't Really Drunk"").
"
FALSE,*,Lose Big,Eef Barzelay,2008,https://www.robertchristgau.com/get_album.php?id=14100,"
""True freedom from all earthly constraints"" is a chimera, right, but Clem Snide's greatest melody helps you forget it (""I Love the Unknown,"" ""Could Be Worse,"" ""Apocalyptic Friend"").
"
FALSE,*,Sooner or Later,BBMak,2000,https://www.robertchristgau.com/get_album.php?id=10182,"
Brit boychiks go pseudo-American, not sussing how old jeans and guitars have gotten in mall-land, which is a relief (""Unpredictable,"" ""Ghost of You and Me"")
"
FALSE,*,Teen Dream,Beach House,2010,https://www.robertchristgau.com/get_album.php?id=15077,"
Teeny-weeny dreamy-themey pokey-wokey tune-a-rooney (""Lover of Mine,"" ""Norway"").
"
FALSE,*,Quench,The Beautiful South,1998,https://www.robertchristgau.com/get_album.php?id=3493,"
Next stop AA (""Dumb,"" ""Your Father and I"").
"
FALSE,*,Loser,Beck,1994,https://www.robertchristgau.com/get_album.php?id=251,"
his greatest hit, an album demo, and two-for-three prime odds and ends (""Fume,"" ""Alcohol"")
"
FALSE,*,One Foot in the Grave,Beck,1994,https://www.robertchristgau.com/get_album.php?id=253,"
his one-offs top Calvin Johnson's keepers (""He's a Mighty Good Leader,"" ""Asshole"")
"
FALSE,*,Midnite Vultures,Beck,1999,https://www.robertchristgau.com/get_album.php?id=257,"
Does eventually get funky, if anybody cares but me (""Pressure Zone,"" ""Peaches &amp; Cream,"" ""Debra"").
"
