isSoundTrack,rank,album,artist,year,url,comment
FALSE,**,Reviver,Abe Vigoda,2009,https://www.robertchristgau.com/get_album.php?id=14410,"
If this EP marks their transition into a song band, somebody tell them mixing the voices up front won't do the trick (""The Reaper,"" ""Don't Lie"").
"
FALSE,**,Morton's Foot,Rabih Abou-Khalil,2004,https://www.robertchristgau.com/get_album.php?id=13351,"
Try if you like oud jazz/Balkan clarinet/Sardinian throat-singing (""Morton's Foot,"" ""Ma Muse M'Abuse"").
"
FALSE,**,Zion Roots,Abyssinia Infinite,2003,https://www.robertchristgau.com/get_album.php?id=12280,"
Bill Laswell designs a neo-traditionalist vehicle for his wife Gigi (""Gela,"" ""Aba Alam Lemena"")
"
FALSE,**,Love and Hate,Aceyalone,2003,https://www.robertchristgau.com/get_album.php?id=12028,"
binary in the great polarized underground tradition--e.g., lively and tedious (""Takeoff,"" ""Ms. Amerikkka"")
"
FALSE,**,I Am Adamn,Adamn Killa,2017,https://www.robertchristgau.com/get_album.php?id=17079,"
Auto-Tuned singsong-rap at its down-and-dirtiest--in other words, grime Chicago style, grime that never forgets the way literal grime gets into the creases of your hands and stinks up your underpants (""Piss in the Sheets,"" ""Pay Your Rent"")
"
FALSE,**,Gold,Ryan Adams,2001,https://www.robertchristgau.com/get_album.php?id=11101,"
asked for Gram Parsons, they gave me Billy Joel (""Somehow, Someday,"" ""The Rescue Blues"");
"
FALSE,**,1989,Ryan Adams,2015,https://www.robertchristgau.com/get_album.php?id=17163,"
Chivalrous Nashville fellow traveler proves the superiority of younger fellow traveler by failing to top much less reinvent a single performance on her breakaway album, which he covers front-to-back like the gifted fanboy I guess he must be (""This Love,"" ""I Know Places"")
"
FALSE,**,Seven Degrees North,King Sunny Ade,2000,https://www.robertchristgau.com/get_album.php?id=1943,"
""Birthdays are very important/Anyone who witness another year should celebrate"" (""Samba,"" ""Congratulations [Happy Birthday]"").
"
FALSE,**,Gaye Without Shame,Gaye Adegbalola,2008,https://www.robertchristgau.com/get_album.php?id=14489,"
Better late than never, Saffire's reddest, hottest mama figures out why men never really did it for her (""The Great Pretender,"" ""Deja Vu Blues"").
"
FALSE,**,21,Adele,2011,https://www.robertchristgau.com/get_album.php?id=15575,"
Part of me likes how many albums this proud white-soul normal has sold, but the part that likes fast ones wins (""Rolling in the Deep,"" ""Rumour Has It"")
"
FALSE,**,25,Adele,2015,https://www.robertchristgau.com/get_album.php?id=16670,"
Warm, thoughtful human being bestows a voice capable of enlarging those virtues without melodrama--without boatloads of melodrama, anyway. (""Hello,"" ""Million Years Ago"")
"
FALSE,**,O.C. Confidential,The Adolescents,2005,https://www.robertchristgau.com/get_album.php?id=12942,"
If only Green Day were this mad (they wouldn't have gotten near a Grammy) (""Lockdown America,"" ""Monsanto Hayride"").
"
FALSE,**,Big Ones,Aerosmith,1994,https://www.robertchristgau.com/get_album.php?id=26,"
""Janie's Got a Gun"" yes, ""My Fist Your Face"" no, two expert Michael Beinhorn add-ons yes, Get a Grip no (""Janie's Got a Gun,"" ""Blind Man"")
"
FALSE,**,Shrunken Head,African Head Charge,2003,https://www.robertchristgau.com/get_album.php?id=12281,"
Two decades of mind expansion compressed onto one dub-up (""Run Come See,"" ""No, Don't Follow Fashion"")
"
FALSE,**,Fulani Journey,Afrissippi,2005,https://www.robertchristgau.com/get_album.php?id=14134,"
Senegalese guitarist moves to Oxford town, joins Kimbrough-Burnside crew, shows Ali Farka Tourï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½""Dono,"" ""Ngol Jimol"").
"
FALSE,**,Cafe Svetlana,Ahilea,2009,https://www.robertchristgau.com/get_album.php?id=14486,"
Electric Balkan bellydance rebetika--music for all manner of Viennese shlaviner (""Spiritus Tango,"" ""In Da Balkan Style"").
"
FALSE,**,The Last Match,The Aislers Set,2000,https://www.robertchristgau.com/get_album.php?id=10190,"
6000 miles from Scotland, a girlpop Belle and Sebastian or a strange musical accident (""Chicago New York,"" ""The Walk"")
"
FALSE,**,Built to Last,Akrobatik,2014,https://www.robertchristgau.com/get_album.php?id=16581,"
Nice guy almost dies, lives to rap about it (""Alive,"" ""Let's Keep It Goin'"")
"
FALSE,**,Algiers,Algiers,2015,https://www.robertchristgau.com/get_album.php?id=16631,"
Industrial-strength gospel grunge good enough for and better than the politics of rage (""But She Was Not Flying,"" ""And When You Fall"")
"
