isSoundTrack,rank,album,artist,year,url,comment
FALSE,***,Aaliyah,Aaliyah,2001,https://www.robertchristgau.com/get_album.php?id=11015,"
a slave to her beats, but a proud slave (""We Need a Resolution,"" ""U Got Nerve"")
"
FALSE,***,Reflections of Palestine,Ramzi Aburedwan,2012,https://www.robertchristgau.com/get_album.php?id=15827,"
Imagining, and almost creating, a civilized peace (""Bahar,"" ""Bordeaux"")
"
FALSE,***,The Sign,Ace of Base,1993,https://www.robertchristgau.com/get_album.php?id=21,"
simple music for a perfect world (""All That She Wants,"" ""Happy Nation"")
"
FALSE,***,Soul Science,Justin Adams & Juldeh Camara,2008,https://www.robertchristgau.com/get_album.php?id=14018,"
Gambian griot adds his one-stringed ritti to desert-besotted British rocker's guitar for traditional wisdom and no less traditional diddleybeats (""Yerro Mama,"" Ya Ta Kaaya"").
"
FALSE,***,Tell No Lies,Justin Adams & Juldeh Camara,2009,https://www.robertchristgau.com/get_album.php?id=14595,"
Robert Plant guitarist and ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½migrï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï""Sahara,"" ""Kele Kele [No Passport No Visa]"").
"
FALSE,***,Gems From the Classic Years 1967-1974,King Sunny Ade,2007,https://www.robertchristgau.com/get_album.php?id=13615,"
A few downshifts too thoughtful for the non-Yoruba (""Sunny Spiral [four-song medley]""; ""John Ali"").
"
FALSE,***,Lice Two: Still Buggin',Aesop Rock & Homeboy Sandman,2016,https://www.robertchristgau.com/get_album.php?id=16960,"
""I hated myself before it was cool,"" claims Aesop; ""I'm looking for a mystery bigger than me to remedy,"" sez Homeboy, which is why I prefer him (""Oatmeal Cookies,"" ""Mud"")
"
FALSE,***,A Fate Worse Than a Fate Worse Than Death,The Affected,1994,https://www.robertchristgau.com/get_album.php?id=3452,"
raised-on-AOR guitar with punk attitude--thousands try it, these particular Australians get it right (""Wilt,"" ""Mind"")
"
FALSE,***,A Toda Cuba le Gusta,Afro-Cuban All Stars,1997,https://www.robertchristgau.com/get_album.php?id=33,"
lots of soneros, lots of salseros, and Ry doesn't get in the way (""Habana Del Este,"" ""Alto Songo"")
"
FALSE,***,Highly Publicized Digital Boxing Match,Afuche,2011,https://www.robertchristgau.com/get_album.php?id=16111,"
tUnE-yArDs sax section carouses even more explosively when voices join in, and not usually Merrill Garbus's (""Monster Smith,"" ""Dance Marino"")
"
FALSE,***,Aam Zamen: Common Ground,Kiran Ahluwalia,2011,https://www.robertchristgau.com/get_album.php?id=16052,"
Pan-global chanteuse clothes her fine sentiments in grooves that hail from Islamabad and Timbuktu too, and picks up momentum along the way (""Mustt Mustt [Extended],"" ""Zindagi"")
"
FALSE,***,Shabeesation,Aisha Kandisha's Jarring Effects,1996,https://www.robertchristgau.com/get_album.php?id=39,"
defying the dread hand of Moroccan tradition by reinventing it--or maybe just recapitulating it (""A Muey A Muey,"" ""Dunya"")
"
FALSE,***,Trouble,Akon,2005,https://www.robertchristgau.com/get_album.php?id=12935,"
Ex-con, not gangsta (""Trouble Nobody,"" ""Locked Up"").
"
FALSE,***,Konvicted,Akon,2006,https://www.robertchristgau.com/get_album.php?id=13657,"
Answers the burning question of whether R. Kelly's priorities would be improved by hard time more ambiguously than one would hope (""Smack That,"" ""Don't Matter,"" ""Tired of Runnin'"").
"
FALSE,***,Freedom,Akon,2008,https://www.robertchristgau.com/get_album.php?id=14319,"
Loads of hits on his love album, but they're so similar in sound and structure they don't add up to anything bigger (""Right Now [Na Na Na],"" ""Keep You Much Longer"").
"
FALSE,***,Salivation,Terry Allen,1999,https://www.robertchristgau.com/get_album.php?id=3443,"
For an artist (visual division), a pretty good songwriter and a fine village atheist (""X-Mas on the Isthmus,"" ""Salivation"").
"
FALSE,***,Vintage,All Natural,2005,https://www.robertchristgau.com/get_album.php?id=13068,"
Always militant, always calm, always on the one (""Keep It Movin,"" ""Heel-Toe"").
"
FALSE,***,Starlito's Way II,All Star,2008,https://www.robertchristgau.com/get_album.php?id=13944,"
Beat-equipped Houston overachiever awaits a stardom he's too late for on the mixtape grind (""My Life,"" ""Living Will"").
"
FALSE,***,Blue Blvd,Dave Alvin,1991,https://www.robertchristgau.com/get_album.php?id=933,"
voice a little better, corn a little worse (""Guilty Man,"" ""Haley's Comet,"" ""Wanda and Duane"")
"
FALSE,***,1990-1995: Le Meilleur des Annï¿½ï¿½ï¿½ï¿½ï¿,Amadou & Mariam,2005,https://www.robertchristgau.com/get_album.php?id=14483,"
Starting just guitar-and-voices, they gain beats, blues, and a belief that they can impact the world (""Kokolon,"" ""Fantani"").
"
FALSE,***,Everclear,American Music Club,1991,https://www.robertchristgau.com/get_album.php?id=110,"
misery as a state of grace, and give him credit--he has a sense of humor about it (""Crabwalk,"" ""Why Won't You Stay"")
"
FALSE,***,In Love & War,Amerie,2009,https://www.robertchristgau.com/get_album.php?id=14843,"
Four terrific funk jams and one terrific ballad followed by a bunch more, you guessed it, ballads (""Tell Me You Love Me,"" ""Heard 'Em All"").
"
FALSE,***,Seminole Wind,John Anderson,1991,https://www.robertchristgau.com/get_album.php?id=8683,"
it's no secret you feel better when you try (""Straight Tequila Night,"" ""Who Got Our Love"")
"
FALSE,***,You Can't Keep a Good Memory Down,John Anderson,1994,https://www.robertchristgau.com/get_album.php?id=8684,"
but you can keep a good man in check, as these lesser hits prove (""Lower on the Hog,"" ""Down in the Orange Grove,"" ""Lying in Her Arms"")
"
FALSE,***,Homeland,Laurie Anderson,2010,https://www.robertchristgau.com/get_album.php?id=15147,"
Very scary stories whose endings nobody knows (""Dark Time in the Revolution,"" ""Transitory Life"").
"
FALSE,***,Landfall,Laurie Anderson & Kronos Quartet,2018,https://www.robertchristgau.com/get_album.php?id=17250,"
Audio version of string-quartet-driven multimedia meditation on loss and Hurricane Sandy stops at elegiac except when the artist uses her words (""All the Extinct Animals,"" ""The Water Rises"")
"
FALSE,***,Bolide,Thomas Anderson,1998,https://www.robertchristgau.com/get_album.php?id=3936,"
Weird tales from many badlands (""Come Back to America,"" ""Theremin Cider"").
"
FALSE,***,Heaven,Thomas Anderson,2016,https://www.robertchristgau.com/get_album.php?id=16695,"
Thirteen songs about dead people and the strophic muse (""Arguing With the Dead,"" ""Dolceola Glory,"" ""Sheb Wooley Dies in Oklahoma"")
"
FALSE,***,The Unboxed Set,Angry Samoans,1995,https://www.robertchristgau.com/get_album.php?id=10246,"
consumer advisory: everything these scabrously hilarious hate dorks ever released (""They Saved Hitler's Cock,"" ""Lights Out"")
"
FALSE,***,Centipede Hz,Animal Collective,2012,https://www.robertchristgau.com/get_album.php?id=15866,"
All too theoretically fun-loving communards nice up the hilarity, whereupon their base tells them to stop being such goofs already (""Moonjock,"" ""Applesauce"")
"
FALSE,***,Don't Stop,Annie,2009,https://www.robertchristgau.com/get_album.php?id=14936,"
Norwegian dolly with ingenue-size voice sings of hooking up, making do, starting your day the healthy way, and girls gone missing by their own hand (""Marie Cherie,"" ""The Breakfast Song"").
"
FALSE,***,Liberation Afro Beat Vol. 1,Antibalas Afrobeat Orchestra,2001,https://www.robertchristgau.com/get_album.php?id=10193,"
musically Fela's a great role model, politically don't be so sure (""Dirt and Blood,"" ""Uprising"")
"
FALSE,***,Aphrodite,Aphrodite,1999,https://www.robertchristgau.com/get_album.php?id=142,"
junglism simplified--at their most brazen, beats to jack your soul (""B.M. Funkster,"" ""Woman That Rolls"")
"
FALSE,***,Electronic Projects for Musicians,The Apples in Stereo,2008,https://www.robertchristgau.com/get_album.php?id=14323,"
Spiffed up a bit, their odds and sods beat most theoretical pop bands' theoretical keepers (""Hold on to This Day,"" ""Man You Gotta Get Up"").
"
FALSE,***,Travellers in Space and Time,The Apples in Stereo,2010,https://www.robertchristgau.com/get_album.php?id=15104,"
Who most of the time think it's historically correct, or maybe just cute, to sound like cyborgs (""Nobody but You,"" ""Told You Once"").
"
FALSE,***,Stretch 1,Arca,2012,https://www.robertchristgau.com/get_album.php?id=16646,"
Making up his own language more mischievously than doomsayers have ears to discern (""Ass Swung Low,"" ""Dignity"")
"
FALSE,***,Always Strive and Prosper,A$AP Ferg,2016,https://www.robertchristgau.com/get_album.php?id=16791,"
When you're dealing language, the payoff is in the details, which is why his family seems so much realer than his cars (""Psycho,"" ""Grandma"")
"
FALSE,***,Lohio,Ass Ponys,2001,https://www.robertchristgau.com/get_album.php?id=10187,"
more song, less band--also more feeling, less story (""Nothing Starts Today,"" ""Baby in a Jar"")
"
FALSE,***,Fruit,The Asteroids Galaxy Tour,2009,https://www.robertchristgau.com/get_album.php?id=14807,"
Mette Lindberg puts everything she's got into her casual, shallow, doomsaying baby doll act--including the three songs on her now superfluous EP (""The Golden Age,"" ""Sunshine Coolin'"").
"
FALSE,***,Spanker Madness,Asylum Street Spankers,2000,https://www.robertchristgau.com/get_album.php?id=185,"
Fun with reefer--it's so relaxin' (""It's Dry Down Here,"" ""Beer"").
"
FALSE,***,Power in the Blood,A3,2003,https://www.robertchristgau.com/get_album.php?id=12277,"
Roots-rocking U.K. socialists access techno and Hubert Selby Jr. (""Woody Guthrie,"" ""Strobe Life,"" ""U Don't Dans 2 Tekno Anymore"")
"
FALSE,***,Seven's Travels,Atmosphere,2003,https://www.robertchristgau.com/get_album.php?id=12131,"
Sometimes he thinks he spends too much time on the road, and he's right (""Always Coming Back Home to You,"" ""Say Shhh"").
"
FALSE,***,The Family Sign,Atmosphere,2011,https://www.robertchristgau.com/get_album.php?id=15614,"
More memorable than many more interesting rappers as he singsongs medium-tempo of his mature values, his life as an entertainer, and his lost dog (""Became,"" ""She's Enough"")
"
FALSE,***,Fishing Blues,Atmosphere,2016,https://www.robertchristgau.com/get_album.php?id=16980,"
Rap lifer is so glad he got there and hopes you are too (""Next to You,"" ""The Shit That We've Been Through"")
"
FALSE,***,Aziatic,AZ,2002,https://www.robertchristgau.com/get_album.php?id=11820,"
the Nas sidekick's name rhymes with ***-*, and he makes the most of it (""Once Again,"" ""A-1 Performance"")
"
FALSE,***,Massafat,Azzddine With Bill Laswell,2004,https://www.robertchristgau.com/get_album.php?id=12831,"
Techno in Morocco, Morocco here (""Srir F' Al Houbb,"" ""Fine"").
"
FALSE,***,On a Mission,Katy B,2011,https://www.robertchristgau.com/get_album.php?id=15666,"
The Diana Ross to Adele's Aretha Franklin, the Vicki Sue Robinson to Adele's Gloria Gaynor, or--most likely--the Vicki Sue Robinson to Adele's Gladys Knight (""Katy on a Mission,"" ""Why You Always Here"")
"
FALSE,***,Little Red,Katy B,2014,https://www.robertchristgau.com/get_album.php?id=16275,"
Best beats front-loaded, first ballad Robyn-worthy, but after six-seven songs it slides into a pop void and the bonus tracks are worse (""Next Thing,"" ""5 AM"")
"
FALSE,***,Grown & Sexy,Babyface,2005,https://www.robertchristgau.com/get_album.php?id=13032,"
Pretty smart for a love man, less so for a deposed record exec who worships Curtis Mayfield and toured with Vote for Change (""Sorry for the Stupid Things,"" ""Good 2 Be in Love"").
"
FALSE,***,The Bachata Legends,The Bachata Legends,2011,https://www.robertchristgau.com/get_album.php?id=15848,"
Thirty years later, DR icons re-record their bittersweet acoustic hits like the nostalgic professionals they've had the opportunity to become (Leonardo Paniagua, ""En un quarto dos amantes""; El Chivo Sin Ley, ""Tirale bajito"")
"
FALSE,***,Worldwide Underground,Erykah Badu,2003,https://www.robertchristgau.com/get_album.php?id=12127,"
If Andre can sing-song hip-hop, so can his babymama (""Love of My Life Worldwide,"" ""Danger"").
"
FALSE,***,New Amerykah: Part One (4th World War),Erykah Badu,2008,https://www.robertchristgau.com/get_album.php?id=13945,"
When your funk is this futuristic, not to say abstract, astrology and Farrakhan sound old, not to say ignorant (""The Cell,"" ""Amerykahn Promise"").
"
FALSE,***,Tassoumakan,Issa Bagayogo,2004,https://www.robertchristgau.com/get_album.php?id=12537,"
The finest Afro-European rhythmic structures Mali can provide (""Diama Don,"" ""Dya"").
"
FALSE,***,Kollage,Bahamadia,1996,https://www.robertchristgau.com/get_album.php?id=234,"
word-mad proof that real has a softness and tough can flow (""UKNOWHOWWEDU,"" ""Spontaneity"")
"
FALSE,***,The Incomparable Mildred Bailey,Mildred Bailey,2003,https://www.robertchristgau.com/get_album.php?id=12222,"
The missing link between Bing and Billie--only subtler, meaning less substantial, than either (""Shoutin' in That Amen Corner,"" ""The Weekend of a Private Secretary"").
"
FALSE,***,Love Songs for the Hearing Impaired,Dan Baird,1992,https://www.robertchristgau.com/get_album.php?id=920,"
macho token of the year (""I Love You Period,"" ""Dixie Beauxderant"")
"
FALSE,***,Club Anthems,Ballboy,2002,https://www.robertchristgau.com/get_album.php?id=11185,"
Edinburgh weed drones and strums his snotty, whimsical, gender-conflicted plaints (""Sex Is Boring,"" ""Donald in the Bushes With a Bag of Glue"")
"
FALSE,***,Doll Revolution,The Bangles,2003,https://www.robertchristgau.com/get_album.php?id=12085,"
Their name was always the cheapest thing about them, and finally they write the respectable songs to prove it (""Single by Choice,"" ""Song for a Good Son"").
"
FALSE,***,Fuji Satisfaction,Bantu Feat. Ayuba,2005,https://www.robertchristgau.com/get_album.php?id=13033,"
Europeanized Islamo-Yoruba Afrobeat strives to please (""Fuji Satisfaction,"" ""Oya"").
"
FALSE,***,Full Buck Moon Kaboom,MC Paul Barman,2009,https://www.robertchristgau.com/get_album.php?id=14974,"
Mixtape musings of hip-hop hierophant start effulgent, lose current (""Word Vs. Meaning,"" ""RZAView,"" ""Make No Mistake"").
"
FALSE,***,Pizza Box,Danny Barnes,2010,https://www.robertchristgau.com/get_album.php?id=15065,"
Banjo-toting songman chronicles the homely-to-criminal travails of the downwardly mobile majority (""TSA,"" ""Broken Clock"").
"
FALSE,***,Play With Toys,Basehead,1991,https://www.robertchristgau.com/get_album.php?id=241,"
laid-back Howard minimalists outart and outjosh the Native Tongues (""Not Over You,"" ""Ode to My Favorite Beer"")
"
FALSE,***,Kish Kash,Basement Jaxx,2003,https://www.robertchristgau.com/get_album.php?id=12276,"
Is that blood the big-time vocalists smear on the tracks, or ichor? (""Lucky Star,"" ""Cish Cash,"" ""Right Here's the Spot"")
"
FALSE,***,Pretaluz [Blacklight],Waldemar Bastos,1998,https://www.robertchristgau.com/get_album.php?id=4129,"
crystalline vision of pan-African bliss (""Morro do Kussava,"" ""Kuribï¿½ï"")
"
FALSE,***,Sounds of Summer,The Beach Boys,2003,https://www.robertchristgau.com/get_album.php?id=12615,"
Summing up their entire career until Wild Honey, this is busted to noncom in honor of Endless Summer, only 13 of whose 20 tracks survive--""Wendy,"" ""Catch a Wave,"" we salute you (""Fun, Fun, Fun,"" ""Surfer Girl"").
"
FALSE,***,Anthology,The Beatles,1995,https://www.robertchristgau.com/get_album.php?id=3486,"
after the hype has cleared, this--their inalienable right to juvenilia, historical context, and live ones where you can hear the words (""Money [That's What I Want],"" ""Can't Buy Me Love,"" ""Shout,"" ""Moonlight Bay"")
"
FALSE,***,Collide,Beats Antique,2008,https://www.robertchristgau.com/get_album.php?id=14404,"
One alleged Bay Area belly dancer plus two Bay Area lower-case gypsies dub up Middle Eastern beats--and tunes--they play themselves (""Beauty Beats,"" ""Roustabouts [Bassnectar Remix]"").
"
FALSE,***,Choke,The Beautiful South,1990,https://www.robertchristgau.com/get_album.php?id=3487,"
cute but deadly, pop but not, fussy but that can change (""I've Come for My Award,"" ""I Think the Answer's Yes"")
"
FALSE,***,Miaow,The Beautiful South,1994,https://www.robertchristgau.com/get_album.php?id=3490,"
too pissed for their own good (""Prettiest Eyes,"" ""Mini-Correct"")
"
FALSE,***,Guero,Beck,2005,https://www.robertchristgau.com/get_album.php?id=12827,"
Is that the world ending in his rearview mirror, or just his career? (""Rental Car,"" ""Earthquake Weather,"" ""Quï¿½ï¿½ï¿½ï¿½ï¿"").
"
FALSE,***,11 Tracks of Whack,Walter Becker,1994,https://www.robertchristgau.com/get_album.php?id=4131,"
rich junkie's gimlet-voiced lament (""Junkie Girl,"" ""Down in the Bottom"")
"
FALSE,***,Ajulo,Floxy Bee,2003,https://www.robertchristgau.com/get_album.php?id=12278,"
""African gospel"" indigenous-charismatic style, which sounds nothing like Western hymnody and everything like Nigeria (""Iba Re Eledumare,"" ""Jesus, I Love You"")
"
