word,frequency
good,624
new,577
first,451
other,415
much,410
own,407
great,389
old,356
many,315
little,315
young,308
such,277
big,269
same,263
hard,229
live,221
black,220
few,219
last,217
musical,210
real,199
sure,184
bad,180
white,156
right,155
true,150
only,148
american,147
second,146
vocal,138
i 'll,134
ai n't,134
high,126
classic,124
long,122
sweet,112
funny,111
african,111
political,108
dead,107
next,106
original,106
full,104
different,104
single,103
simple,103
short,97
early,96
perfect,92
easy,90
