word,frequency
first,6
enya 's,4
good,3
last,3
inspirational,3
mr.,3
lousy album,2
good sense,2
neil sedaka 's,2
rainy days,2
saturday night 's alright,2
sedaka 's,2
single,2
guys 'll,2
wimp harmonies,2
stupid poetry,2
organ-grinder 's monkey,2
keyboard player,2
james taylor,2
low point,2
tom paxton 's,2
funereal drums,2
basic doors tempo,2
oh wow,2
godawful,2
disgraceful performance inspires,2
rename david crosby,2
byrds lp,2
rocky muzak,2
roger crosby,2
vaughan monroe,2
slipknot undone,2
charlize theron,2
keanu reeves,2
new age exoticism,2
's breakthrough,2
's goopier,2
sarah mclachlan ella fitzgerald,2
treacle smithfield ham,2
master p,2
michael bolton,2
's faith,2
jerry wexler,2
production booth,2
revitalize soul music,2
supper-club melodrama,2
i 'm content,2
yeah yeah yeah,2
sterile,2
elvis soundtracks,2
