word,frequency
good,8
last,6
black,6
white,5
own,5
wrong,4
heavy,4
jive dr. john,4
copyright mafia,4
new,4
inspirational verse,4
moody blues,4
beatle songs,4
other,4
great,3
bad,3
ten,3
much,3
such,3
many,3
jesus christ,2
clive davis,2
phi beta kappa,2
chris braide,2
danielle brisebois,2
gary burr,2
andreas carlsson,2
jess cates,2
desmond child,2
cathy dennis,2
kara dioguardi,2
david eriksen,2
jeff franzel,2
pete gordeno,2
jimmy harry,2
darren hayes,2
wayne hector,2
enrique iglesias,2
ty lacy,2
dennis matkosky,2
steve morales,2
aldo nova,2
rick nowels,2
lindy robbins,2
david siegel,2
shep solomon,2
would-be idol 's,2
gary,2
musicologist sings,2
elvis songs,2
