word,frequency
sha na na 's,4
right,3
creative marketer,2
malcolm mclaren sticks,2
cassette pet,2
n't care,2
three-year-old tapes,2
white blues scholars,2
dylan 's,2
morbid fascination,2
esoteric reference,2
ryne duren pitch,2
n't phrase,2
cbs 's punishment,2
bad manners,2
i wonder,2
wild,2
gargantuan shuck,2
time capsule,2
flower record,2
revolutionary liner,2
guerilla warfare,2
's tune,2
complete,2
axl 's voice,2
power tool,2
's guitar,2
hard rock,2
musical quality,2
clean livers,2
wild side,2
necessary link,2
hollywood fantasy,2
aids benefit,2
disease/they talk,2
goddamn ways/it 's,2
's heartfelt,2
grandstand play,2
bitch i 've,2
sweet child o,2
hard,2
musical,2
many,2
hilarious takeoff,2
circa-1964 folk music,2
sensitive vibrato,2
hard little guitar parts,2
moderate good intentions,2
atrocious records,2
red minidress,2
