isSoundTrack,rank,album,artist,year,url,comment
FALSE,N,All Balls Don't Bounce,Aceyalone,1995,,
FALSE,N,Peel Sessions,Adam and the Ants,1991,,
FALSE,N,Live at the Hollywood Palace,King Sunny Ade and the New African Beats,1994,,
FALSE,N,Nine Lives,Aerosmith,1997,,
FALSE,N,1965,Afghan Whigs,1998,,
FALSE,N,Vol. 1: Trovador,Africando,1993,,
FALSE,N,Vol. 2: Tierra Tradicional,Africando,1994,,
FALSE,N,The Very Best of After 7,After 7,1997,,
FALSE,N,Soul of Addis,Mahmoud Ahmed,1997,,
FALSE,N,Dicen Que . . .,Albita,1996,,
FALSE,N,Jar of Flies,Alice in Chains,1994,,
FALSE,N,Hell & High Water,The Allman Brothers Band,1994,,
FALSE,N,Museum of Heart,Dave Alvin,1993,,
FALSE,N,County Fair 2000,Phil Alvin,1994,,
FALSE,N,Paradise,John Anderson,1995,,
FALSE,N,Bright Red,Laurie Anderson,1994,,
FALSE,N,Angry Samoans,Angry Samoans,1998,,
FALSE,N,Stomp 442,Anthrax,1995,,
FALSE,N,Suburban Etiquette,Anttex,1991,,
FALSE,N,Tidal,Fiona Apple,1996,,
FALSE,N,As the World Burns,Arsonists,1999,,
FALSE,N,Accordion Forro from Brazil,Asa Branca,1990,,
FALSE,N,Rafi's Revenge,Asiandubfoundation,1998,,
FALSE,N,Hot Lunch,Asylum Street Spankers,1999,,
FALSE,N,Ayeshtini,Natacha Atlas,2001,,
FALSE,N,Life Could Be a Dream,Auntie Christ,1997,,
FALSE,N,Mr. Johnson Play for Me,Adewale Ayuba,1992,,
FALSE,N,Pig Latin,Billy Bacon & the Forbidden Pigs,2000,,
FALSE,N,Sï¿½ï¿½n,Badenya--Les Freres Coulibaly,2000,,
FALSE,N,80-85,Bad Religion,1991,,
FALSE,N,Recipe for Hate,Bad Religion,1993,,
FALSE,N,Triage,David Baerwald,1993,,
FALSE,N,Thinkin' Problem,David Ball,1994,,
FALSE,N,Kassa,Sï¿½ï¿½kouba Bam,1997,,
FALSE,N,Last Train to Lhasa,Banco de Gaia,1995,,
FALSE,N,Unchained Spirit,Buju Banton,2000,,
FALSE,N,Memories of the Soulshack Survivors,Bass Is Base,1996,,
FALSE,N,Sweaty Planet,Bass Kittens,1998,,
FALSE,N,Silverbeet,The Bats,1993,,
FALSE,N,Check Your Head,The Beastie Boys,1992,,
FALSE,N,Some Old Bullshit,The Beastie Boys,1994,,
FALSE,N,Take It or Squeeze It,The Beatnuts,2001,,
FALSE,N,Nandola/With Love: Francis Bebey Works: 1963-1994,Francis Bebey,1996,,
FALSE,N,Stray Blues,Beck,2000,,
FALSE,N,Many Moods of Moses,Beenie Man,1998,,
FALSE,N,Mercurial Son,Lurrie Bell,1995,,
FALSE,N,Happiness,The Beloved,1990,,
FALSE,N,A Day in the Life,Eric Benï¿½,1999,,
FALSE,N,MTV Unplugged,Tony Bennett,1994,,
FALSE,N,Kid's Alright,Bettie Serveert,1993,,
FALSE,N,Lamprey,Bettie Serveert,1995,,
FALSE,N,"Yeah, Yeah, Yeah, Yeah/Our Troubled Youth",Bikini Kill/Huggybear,1993,,
FALSE,N,Sorry Africa,Tony Bird,1990,,
FALSE,N,The Bis-Quits,The Bis-Quits,1993,,
FALSE,N,Debut,Bjï¿½ï,1993,,
FALSE,N,The Greatest Hits,Clint Black,1996,,
FALSE,N,Teenager of the Year,Frank Black,1994,,
FALSE,N,The Cult of Ray,Frank Black,1996,,
FALSE,N,Behind the Front,Black Eyed Peas,1998,,
FALSE,N,Another Level,Blackstreet,1996,,
FALSE,N,Festival--Undlalo,Black Umfolosi,1993,,
FALSE,N,Sad Street,Bobby Bland,1995,,
FALSE,N,Short Fuse,The Blazers,1994,,
FALSE,N,Killing Time,Bleach,1993,,
FALSE,N,Crucian Scratch Band Music,Blinky and the Roadmasters,1990,,
FALSE,N,Melody of Certain Damaged Lemons,Blonde Redhead,2000,,
FALSE,N,Live au Zenith (Paris),Alpha Blondy,1994,,
FALSE,N,Dieu,Alpha Blondy and the Solar System,1995,,
FALSE,N,The Crying Tree,Blood Oranges,1994,,
FALSE,N,The Great Escape,Blur,1995,,
FALSE,N,Alkibar,Afel Bocoum,1999,,
FALSE,N,Born Dead,Body Count,1994,,
FALSE,N,Violent Demise: The Last Days,Body Count,1997,,
FALSE,N,The Collection Volume One,Bone Thugs-N-Harmony,1998,,
FALSE,N,Riders of the Storm: The Underwater Album,Boogiemonsters,1994,,
FALSE,N,Giant Steps,The Boo Radleys,1993,,
FALSE,N,Blasters of the Universe,Booty's New Rubber Band,1994,,
FALSE,N,Live at Red Rocks,Boukman Eksperyans,1999,,
FALSE,N,Rock the Cathartic Spirits: Vibe Music and the Blues!,Jean-Paul Bourelly & the BluWave Bandits,1997,,
FALSE,N,Don't Try This at Home,Billy Bragg,1991,,
FALSE,N,Everything Is Everything,Brand Nubian,1994,,
FALSE,N,Brandy,Brandy,1994,,
FALSE,N,Got It Made,Brassy,2001,,
FALSE,N,The Real Janelle,Bratmobile,1994,,
FALSE,N,Toni Braxton,Toni Braxton,1993,,
FALSE,N,Ultra-Obscene,Breakbeat Era,1999,,
FALSE,N,Pod,The Breeders,1990,,
FALSE,N,Blurring the Edges,Meredith Brooks,1997,,
FALSE,N,De Power of Resistance,Brother Resistance,1996,,
FALSE,N,The Poet's Game,Greg Brown,1994,,
FALSE,N,"Cryin', Lovin', Leavin'",Marty Brown,1994,,
FALSE,N,The Soul of a Woman,Shirley Brown,1997,,
FALSE,N,Meet the Mrs.,Tanya Rae Brown,1999,,
FALSE,N,Bloomed,Richard Buckner,1995,,
FALSE,N,Logical Progression,L.T.J. Bukem,1996,,
FALSE,N,Jah Kingdom,Burning Spear,1991,,
FALSE,N,The World Should Know,Burning Spear,1993,,
FALSE,N,A Ass Pocket of Whiskey,R.L. Burnside,1996,,
FALSE,N,Dead City Radio,William S. Burroughs,1990,,
FALSE,N,Puke Point at the Juke Joint,Charlie Burton and the Hiccups,1991,,
FALSE,N,The Red Shoes,Kate Bush,1993,,
FALSE,N,Electriclarryland,The Butthole Surfers,1996,,
FALSE,N,Angel Food for Thought,Meryn Cadell,1992,,
FALSE,N,Cafe Tacuba,Cafe Tacuba,1992,,
FALSE,N,Prolonging the Magic,Cake,1998,,
FALSE,N,Hot Rail,Calexico,2000,,
FALSE,N,Ashes of Old Love,Stacy Dean Campbell,1999,,
FALSE,N,S.D.E.,Cam'ron,2000,,
FALSE,N,I Like You (a Lot),Ralph Carney,1999,,
FALSE,N,Everything's Gonna Be Alright,Deana Carter,1998,,
FALSE,N,Changing Faces,Changing Faces,1994,,
FALSE,N,Love Slave,Marshall Chapman,1996,,
FALSE,N,Boozoo Chavis,Boozoo Chavis,1991,,
FALSE,N,Music: Response,The Chemical Brothers,2000,,
FALSE,N,The Salesman and Bernadette,Vic Chesnutt,1998,,
FALSE,N,Chisi,Stella Rambisi Chiweshe,1991,,
FALSE,N,Kumusha,Stella Rambisi Chiweshe,1992,,
FALSE,N,Viva! La Woman,Cibo Matto,1996,,
FALSE,N,Kora Revolution,Kaouding Cissoko,1999,,
FALSE,N,24 Nights,Eric Clapton,1991,,
FALSE,N,Boats to Build,Guy Clark,1992,,
FALSE,N,The Best of Joe Cocker,Joe Cocker,1993,,
FALSE,N,Cohen Live!,Leonard Cohen,1994,,
FALSE,N,Don't Get Weird on Me Babe,Lloyd Cole,1991,,
FALSE,N,Curves of Life,Steve Coleman and Five Elements,1995,,
FALSE,N,Flores,Conjunto Cï¿½ï¿½sp,1998,,
FALSE,N,East Point's Greatest Hit,Cool Breeze,1999,,
FALSE,N,Fantasma,Cornelius,1998,,
FALSE,N,Cracker,Cracker,1992,,
FALSE,N,Loved,The Cranes,1994,,
FALSE,N,God Shuffled His Feet,Crash Test Dummies,1993,,
FALSE,N,Sweet Potato Pie,The Robert Cray Band,1997,,
FALSE,N,The 9-Volt Years,Marshall Crenshaw,1998,,
FALSE,N,Tuesday Night Music Club,Sheryl Crow,1993,,
FALSE,N,Life Is Messy,Rodney Crowell,1992,,
FALSE,N,Trod On,Culture,1993,,
FALSE,N,Cultural Livity,Culture,1998,,
FALSE,N,Galore: The Singles 1987-1997,The Cure,1997,,
FALSE,N,Empathy,Cybotron,1993,,
FALSE,N,Funkdafied,Da Brat,1994,,
FALSE,N,Ashiko,I.K. Dairo M.B.E. and His Blue Spots,1994,,
FALSE,N,Big Thinkin',Dallas Wayne,2000,,
FALSE,N,Dyslexicon,Dandelion,1995,,
FALSE,N,TTD's Vibrator,Terence Trent D'Arby,1995,,
FALSE,N,Erotica,The Darling Buds,1992,,
FALSE,N,Dewdrops in the Garden,Deee-Lite,1994,,
FALSE,N,Deep Forest,Deep Forest,1993,,
FALSE,N,Rolling Home,The Deighton Family,1991,,
FALSE,N,The Great Eastern,The Delgados,2000,,
FALSE,N,"Distinto, Diferente",Juan de Marcos Afro Cuban All Stars,2000,,
FALSE,N,Everything Sucks,The Descendents,1996,,
FALSE,N,I Ain't Movin',Des'ree,1994,,
FALSE,N,Malagasy Guitar,D'Gary,1993,,
FALSE,N,Jako Baye,Adama Diabate,1995,,
FALSE,N,FlamenKora,Djeli Moussa Diawara,1999,,
FALSE,N,A Man Amongst Men,Bo Diddley,1996,,
FALSE,N,Honky Tonk Attitude,Joe Diffie,1993,,
FALSE,N,Dim Stars,Dim Stars,1992,,
FALSE,N,Whatever's Cool With Me,Dinosaur Jr.,1991,,
FALSE,N,Twenty-Two: P.A. World Title,DJ DMD and the Inner Soul Clique,1999,,
FALSE,N,Safe and Sound,DJ Quik,1995,,
FALSE,N,Inna City Pressure,Dr. Israel,1998,,
FALSE,N,Duke Elegant,Dr. John,2000,,
FALSE,N,Dogg Food,The Dogg Pound,1995,,
FALSE,N,Domino,Domino,1993,,
FALSE,N,American Teenage Rock 'n' Roll Machine,The Donnas,1998,,
FALSE,N,Didadi,Nahawa Doumbia,1990,,
FALSE,N,Drugstore,Drugstore,1995,,
FALSE,N,Geek Drip,Dust Devils,1990,,
FALSE,N,Bright Side,John Easdale,1998,,
FALSE,N,U-Neek,Eek-A-Mouse,1991,,
FALSE,N,Studio City,Electric Company,1998,,
FALSE,N,Letter to Laredo,Joe Ely,1995,,
FALSE,N,Twistin' in the Wind,Joe Ely,1998,,
FALSE,N,Born to Sing,En Vogue,1990,,
FALSE,N,Masterpiece Theatre,En Vogue,2000,,
FALSE,N,Tongues,Esham,2001,,
FALSE,N,Space-Age Bachelor-Pad Music,Esquivel!,1994,,
FALSE,N,No More Mister Nice Girl,Maggie Estep,1994,,
FALSE,N,Mary Queen of Scots,Eugenius,1994,,
FALSE,N,World of Noise,Everclear,1994,,
FALSE,N,Forever Everlasting,Everlast,1990,,
FALSE,N,Walking Wounded,Everything but the Girl,1996,,
FALSE,N,Evil Stig,Evil Stig,1995,,
FALSE,N,Mar Azul,Cï¿½ï¿½saria ï¿,1999,,
FALSE,N,Miss Perfumado,Cï¿½ï¿½saria ï¿,1999,,
FALSE,N,The Explosion,The Explosion,2000,,
FALSE,N,I Like Your Face,Jad Fair and the Shapir O'Rama,1999,,
FALSE,N,A Secret Life,Marianne Faithfull,1995,,
FALSE,N,Middle Class Revolt,The Fall,1994,,
FALSE,N,Viva Mindelo,Fantcha,2001,,
FALSE,N,Spirit of Love,Majek Fashek and the Prisoners of Conscience,1991,,
FALSE,N,Zï¿½ï¿½,The Fastbacks,1993,,
FALSE,N,Get With It: Essential Recordings,Charlie Feathers,1998,,
FALSE,N,Phantom Center,Ferron,1990,,
FALSE,N,Taxi,Bryan Ferry,1993,,
FALSE,N,If U R Not Part of the Solution . . .,Five-O,1994,,
FALSE,N,Everything but the Girl Vs. Drum n' Bass,Five-O,1997,,
FALSE,N,The Dance,Fleetwood Mac,1997,,
FALSE,N,Once More With Feeling,Rosie Flores,1993,,
FALSE,N,Spit on the Dishes,Foamola,1993,,
FALSE,N,Blue Moon Swamp,John Fogerty,1997,,
FALSE,N,Big City Blues,Sue Foley,1995,,
FALSE,N,Walk in the Sun,Sue Foley,1996,,
FALSE,N,Pee-Wee Get My Gun,T-Model Ford,1997,,
FALSE,N,Sangonini,4 Etoiles,1993,,
FALSE,N,Moon Hut,Kim Fox,1997,,
FALSE,N,Getting Off Scott Free,Scott Free,1997,,
FALSE,N,Nice Ass,Free Kitten,1995,,
