word,frequency
[ <,4
santa fe prodigy zach condon,2
hyper-emotional voices,2
balkan roma,2
macedonian diva esma redzepova,2
serbian outlaw saban bajramovic,2
alt-rock admirers,2
beirut project,2
tamer turf,2
parisian chanson,2
various keyboards,2
fellow europhile rufus wainwright,2
romantic lyricism,2
melismatic slurs,2
gallic disdain,2
wanders hither,2
< /a > ],2
moldy peaches,2
adam green,2
childish id,2
solo debut,2
guitar guys,2
computer show,2
folk album,2
's bratty,2
own sake,2
< /a > ] < br/ >,2
obvious,1
santa,1
hyper-emotional,1
intense,1
macedonian,1
serbian,1
parisian,1
various,1
front,1
little,1
fellow,1
rufus,1
romantic,1
melismatic,1
gallic,1
green,1
childish,1
acen-fighting,1
conventional,1
adenoidal,1
new,1
a/k/a,1
anti,1
