isSoundTrack,rank,album,artist,year,url,comment
FALSE,X,Spellbound,Paula Abdul,1991,,
FALSE,X,A Good Day to Die,Absinthe,1999,,
FALSE,X,Waking Up the Neighbors,Bryan Adams,1991,,
FALSE,X,Naive and Sentimental Music,John Adams,2002,,
FALSE,X,Love Is Hell Pt. 1,Ryan Adams,2003,,
FALSE,X,Love Is Hell Pt. 2,Ryan Adams,2003,,
FALSE,X,Cardinology,Ryan Adams & the Cardinals,2009,,
FALSE,X,Follow the Lights,Ryan Adams & the Cardinals,2009,,
FALSE,X,Avant Hard,Add N to X,1999,,
FALSE,X,Adventures of Stevie V,Adventures of Stevie V,1990,,
FALSE,X,None Shall Pass,Aesop Rock,2007,,
FALSE,X,Searching for a Former Clarity,Against Me!,2006,,
FALSE,X,Back to Basics,Christina Aguilera,2006,,
FALSE,X,Premiers Symptomes,Air,1999,,
FALSE,X,Everybody Hertz,Air,2002,,
FALSE,X,How I Learned to Write Backwards,The Aislers Set,2003,,
FALSE,X,Put It in Your Mouth,Akinyele,1996,,
FALSE,X,Wide Open,Jason Aldean,2009,,
FALSE,X,Who Needs Guitars Anyway?,Alice Deejay,2000,,
FALSE,X,Wild for You,Karrin Allyson,2004,,
FALSE,X,Out in California,Dave Alvin and the Guilty Men,2002,,
FALSE,X,San Francisco,American Music Club,1994,,
FALSE,X,The Golden Age,American Music Club,2008,,
FALSE,X,Yalil,Amina,1990,,
FALSE,X,Crucify,Tori Amos,1992,,
FALSE,X,Boys for Pele,Tori Amos,1996,,
FALSE,X,From the Choirgirl Hotel,Tori Amos,1998,,
FALSE,X,Funny Cry Happy Gift,Tiffany Anders,2001,,
FALSE,X,Source Codes and Tags,. . . And You Will Know Us by the Trail of Dead,2002,,
FALSE,X,We Don't Need to Whisper,Angels and Airwaves,2006,,
FALSE,X,Snow on the Sahara,Anggun,1998,,
FALSE,X,Fall Be Kind,Animal Collective,2009,,
FALSE,X,Attack of the Killer B's,Anthrax,1991,,
FALSE,X,Attack of the Killer A's,Anthrax,1999,,
FALSE,X,Security,Antibalas,2007,,
FALSE,X,Another World,Antony and the Johnsons,2008,,
FALSE,X,The Crying Light,Antony and the Johnsons,2009,,
FALSE,X,Apache Ain't Shit,Apache,1993,,
FALSE,X,Come to Daddy,Aphex Twin,1997,,
FALSE,X,Fun Trick Noisemaker,The Apples in Stereo,1995,,
FALSE,X,Aquarium,Aqua,1997,,
FALSE,X,Arc Angels,Arc Angels,1992,,
FALSE,X,Free in the Streets,A.R.E. Weapons,2005,,
FALSE,X,Lovers Speak,Joan Armatrading,2003,,
FALSE,X,Alone With Everybody,Richard Ashcroft,2000,,
FALSE,X,60 Second Wipe Out,Atari Teenage Riot,1999,,
FALSE,X,Planet Pop,ATC,2001,,
FALSE,X,Teen Spirit,A*Teens,2001,,
FALSE,X,Radiance,Athenaeum,1998,,
FALSE,X,Wax Trax! MasterMix Volume 1,Juan Atkins,1999,,
FALSE,X,It's America,Rodney Atkins,2009,,
FALSE,X,Halim,Natacha Atlas,1997,,
FALSE,X,Redefining Music,Atom and His Package,2001,,
FALSE,X,Red Hot & Blue: Lee Atwater & Friends,Lee Atwater,1990,,
FALSE,X,Audioslave,Audioslave,2002,,
FALSE,X,Out of Exile,Audioslave,2005,,
FALSE,X,The Second Gleam,The Avett Brothers,2008,,
FALSE,X,Tear Down the Border,Avtograf,1991,,
FALSE,X,Frestonia,Aztec Camera,1995,,
FALSE,X,To Mother,Babes in Toyland,1991,,
FALSE,X,Four on One,Babylon Dance Band,1994,,
FALSE,X,Susana Baca,Susana Baca,1997,,
FALSE,X,To the Races,Eric Bachmann,2006,,
FALSE,X,Black and Blue,Backstreet Boys,2000,,
FALSE,X,Rise,Bad Brains,1993,,
FALSE,X,No Substance,Bad Religion,1998,,
FALSE,X,The New America,Bad Religion,2000,,
FALSE,X,Bedtime Stories,David Baerwald,1990,,
FALSE,X,Play Me Backwards,Joan Baez,1992,,
FALSE,X,Compositions,Anita Baker,1990,,
FALSE,X,Rhythm of Love,Anita Baker,1994,,
FALSE,X,Love Songs,Chet Baker,2004,,
FALSE,X,Sing It!,Marcia Ball/Tracy Nelson/Irma Thomas,1998,,
FALSE,X,The Band of Heathens,The Band of Heathens,2008,,
FALSE,X,Smokey Rolls Down Thunder Canyon,Devendra Banhart,2007,,
FALSE,X,Mississippi: The Album,David Banner,2003,,
FALSE,X,MTA2: Baptized in Dirty Water,David Banner,2003,,
FALSE,X,Insignificance,Barbez,2005,,
FALSE,X,The Moon Was Blue,Bobby Bare,2005,,
FALSE,X,The American Bread EP,Bobby Bare Jr.,2009,,
FALSE,X,Little Voice,Sara Bareilles,2007,,
FALSE,X,Not in Kansas Anymore,Basehead,1993,,
FALSE,X,Fancy Blue,Tywanna Jo Baskette,2003,,
FALSE,X,Capable Egg,Lullaby Baxter Trio,2000,,
FALSE,X,Fewer Moving Parts,David Bazan,2006,,
FALSE,X,Beach House,Beach House,2006,,
FALSE,X,Once We Were Trees,Beachwood Sparks,2001,,
FALSE,X,Make the Cowboy Robots Cry,Beachwood Sparks,2002,,
FALSE,X,The In Sound from Way Out!,The Beastie Boys,1996,,
FALSE,X,The Mix-Up,The Beastie Boys,2007,,
FALSE,X,Anthology 2,The Beatles,1995,,
FALSE,X,Who Else!,Jeff Beck,1999,,
FALSE,X,The Flying Club Cup,Beirut,2007,https://www.robertchristgau.com/get_album.php?id=15275,"
In retrospect, it's obvious. Attracted though Santa Fe prodigy Zach Condon may have been to the hyper-emotional voices of the Balkan Roma, he's not intense enough to share a style with Macedonian diva Esma Redzepova or Serbian outlaw Saban Bajramovic, whom he knows even if his alt-rock admirers don't. So here he moves his Beirut project west, to the tamer turf of Parisian chanson. The brass is muted or gone, with accordion, strings, and various keyboards up front--only not as far front as Condon, who leaves little doubt that the singer he most admires in the world is fellow Europhile Rufus Wainwright. Committed to romantic lyricism above all, Condon isn't quite the tunesmith to fully justify this passion, compensating with melismatic slurs and a Gallic disdain for consonants. These tics don't do much for lyrics he's clearly been working on. ""Nantes"" is suffused with regret. ""Forks and Knives"" wanders hither and yon. ""Cliquot"" summons healing melody. Like that. [<a href=""/xg/rs/beirut-072.php"">Rolling Stone 2.5</a>]
"
FALSE,X,Guy Debord Is Really Dead,Bembeya Jazz National,2004,,
FALSE,X,The Alternative to Love,Brendan Benson,2005,,
FALSE,X,Modern Day Drifter,Dierks Bentley,2005,,
FALSE,X,Long Trip Home,Dierks Bentley,2007,,
FALSE,X,Redemption,Benzino,2003,,
FALSE,X,Pages,Bering Strait,2005,,
FALSE,X,Dog Boy Van,Dan Bern,1997,,
FALSE,X,Breathe,Dan Bern,2006,,
FALSE,X,The Three E.P.'s,The Beta Band,1999,,
FALSE,X,Deluxe,Better Than Ezra,1995,,
FALSE,X,Are You Man Enough?,Betty Blowtorch,2001,,
