word,frequency
smokey ,14
green ,12
dis poem,12
worth,12
bob dylan,10
otis ,10
yazoo ,10
hard beats,10
turning point,10
gypsy brass,10
double album,10
target audience,10
closet chapter,10
george jones,8
dead,8
dj shadow,8
sonny rollins,8
hammond b-3,8
glad i,8
official debut,8
lead track,8
mild,8
youssou n'dour,8
ideal introduction,8
dr. john,8
racial identity,8
hit parade,8
fist city,8
classic blues,8
'd swear,8
elizabeth nelson,8
linda ronstadt,8
roy ayers,8
pink flag,8
kenny gamble,8
slow songs,8
lisa lee,8
young things,8
winston rodney,8
leon huff,8
induku zethu,8
joy division,8
joan baez,8
paul weller,8
> blender,8
side story,8
mississippi sheiks,8
serious stuff,8
